time,instruction,arg_1,arg_2
0,POSITION,'{"5": {"position": 1367, "speed": 8000}}',
0.01,POSITION,'{"7": {"position": 1497, "speed": 8000}, "6": {"position": 1565, "speed": 8000}}',
0.01,POSITION,'{"5": {"position": 1362, "speed": 8000}}',
0.02,POSITION,'{"5": {"position": 1360, "speed": 8000}}',
0.03,POSITION,'{"5": {"position": 1354, "speed": 8000}}',
0.05,POSITION,'{"5": {"position": 1351, "speed": 8000}}',
0.06,POSITION,'{"5": {"position": 1346, "speed": 8000}}',
0.07,POSITION,'{"5": {"position": 1343, "speed": 8000}}',
0.08,POSITION,'{"5": {"position": 1341, "speed": 8000}}',
0.09,POSITION,'{"5": {"position": 1336, "speed": 8000}}',
0.11,POSITION,'{"5": {"position": 1334, "speed": 8000}}',
0.12,POSITION,'{"7": {"position": 1496, "speed": 8000}, "6": {"position": 1567, "speed": 8000}}',
0.12,POSITION,'{"5": {"position": 1330, "speed": 8000}}',
0.13,POSITION,'{"5": {"position": 1327, "speed": 8000}}',
0.16,POSITION,'{"5": {"position": 1325, "speed": 8000}}',
0.21,POSITION,'{"5": {"position": 1322, "speed": 8000}}',
0.26,POSITION,'{"5": {"position": 1319, "speed": 8000}}',
0.29,POSITION,'{"5": {"position": 1317, "speed": 8000}}',
0.32,POSITION,'{"5": {"position": 1315, "speed": 8000}}',
0.35,POSITION,'{"7": {"position": 1494, "speed": 8000}, "6": {"position": 1569, "speed": 8000}}',
0.4,POSITION,'{"5": {"position": 1313, "speed": 8000}}',
0.42,POSITION,'{"5": {"position": 1309, "speed": 8000}}',
0.43,POSITION,'{"5": {"position": 1304, "speed": 8000}}',
0.44,POSITION,'{"5": {"position": 1289, "speed": 8000}}',
0.45,POSITION,'{"5": {"position": 1280, "speed": 8000}}',
0.47,POSITION,'{"5": {"position": 1251, "speed": 8000}}',
0.48,POSITION,'{"7": {"position": 1495, "speed": 8000}, "6": {"position": 1567, "speed": 8000}}',
0.48,POSITION,'{"5": {"position": 1232, "speed": 8000}}',
0.49,POSITION,'{"7": {"position": 1497, "speed": 8000}, "6": {"position": 1565, "speed": 8000}}',
0.49,POSITION,'{"5": {"position": 1183, "speed": 8000}}',
0.5,POSITION,'{"5": {"position": 1028, "speed": 8000}}',
0.51,POSITION,'{"7": {"position": 1501, "speed": 8000}, "6": {"position": 1560, "speed": 8000}}',
0.52,POSITION,'{"5": {"position": 1006, "speed": 8000}}',
0.53,POSITION,'{"7": {"position": 1503, "speed": 8000}, "6": {"position": 1558, "speed": 8000}}',
0.53,POSITION,'{"5": {"position": 987, "speed": 8000}}',
0.54,POSITION,'{"7": {"position": 1505, "speed": 8000}, "6": {"position": 1555, "speed": 8000}}',
0.54,POSITION,'{"5": {"position": 950, "speed": 8000}}',
0.55,POSITION,'{"5": {"position": 934, "speed": 8000}}',
0.57,POSITION,'{"5": {"position": 907, "speed": 8000}}',
0.58,POSITION,'{"7": {"position": 1507, "speed": 8000}, "6": {"position": 1553, "speed": 8000}}',
0.58,POSITION,'{"5": {"position": 889, "speed": 8000}}',
0.59,POSITION,'{"5": {"position": 882, "speed": 8000}}',
0.6,POSITION,'{"5": {"position": 877, "speed": 8000}}',
0.62,POSITION,'{"5": {"position": 870, "speed": 8000}}',
0.68,POSITION,'{"5": {"position": 873, "speed": 8000}}',
0.7,POSITION,'{"5": {"position": 875, "speed": 8000}}',
0.73,POSITION,'{"5": {"position": 877, "speed": 8000}}',
0.74,POSITION,'{"5": {"position": 881, "speed": 8000}}',
0.75,POSITION,'{"5": {"position": 885, "speed": 8000}}',
0.78,POSITION,'{"5": {"position": 889, "speed": 8000}}',
0.79,POSITION,'{"5": {"position": 892, "speed": 8000}}',
0.8,POSITION,'{"5": {"position": 895, "speed": 8000}}',
0.82,POSITION,'{"5": {"position": 898, "speed": 8000}}',
0.84,POSITION,'{"5": {"position": 901, "speed": 8000}}',
0.85,POSITION,'{"5": {"position": 903, "speed": 8000}}',
0.87,POSITION,'{"5": {"position": 905, "speed": 8000}}',
0.88,POSITION,'{"5": {"position": 908, "speed": 8000}}',
0.9,POSITION,'{"5": {"position": 910, "speed": 8000}}',
0.91,POSITION,'{"5": {"position": 913, "speed": 8000}}',
0.93,POSITION,'{"5": {"position": 915, "speed": 8000}}',
0.94,POSITION,'{"5": {"position": 917, "speed": 8000}}',
0.96,POSITION,'{"5": {"position": 919, "speed": 8000}}',
0.98,POSITION,'{"5": {"position": 921, "speed": 8000}}',
