time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1899, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1110, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1901, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1108, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1106, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1925, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1085, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1928, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1080, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1930, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1076, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1935, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1067, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1939, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1061, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1058, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1942, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1054, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1946, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1052, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1948, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1049, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1046, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1950, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1043, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1041, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1953, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1039, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1037, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1035, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1955, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1033, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1957, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1031, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1028, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1025, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1960, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1022, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1962, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1019, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1967, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1013, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1970, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1009, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1982, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 999, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1997, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 981, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 2005, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 972, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 2020, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 955, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 2032, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 942, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 2038, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 935, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 2049, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 921, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 2054, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 908, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 2062, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 901, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 2065, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 894, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 2069, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 882, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 2073, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 868, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 861, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 2076, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 845, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 2078, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 839, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 2081, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 826, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 800, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 2084, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 2086, "speed": 8000}}',""
1.13,POSITION,'{"13": {"position": 802, "speed": 8000}}',""
1.14,POSITION,'{"12": {"position": 2084, "speed": 8000}}',""
1.14,POSITION,'{"13": {"position": 804, "speed": 8000}}',""
1.16,POSITION,'{"12": {"position": 2082, "speed": 8000}}',""
1.16,POSITION,'{"13": {"position": 808, "speed": 8000}}',""
1.17,POSITION,'{"12": {"position": 2079, "speed": 8000}}',""
1.17,POSITION,'{"13": {"position": 813, "speed": 8000}}',""
1.18,POSITION,'{"12": {"position": 2077, "speed": 8000}}',""
1.18,POSITION,'{"13": {"position": 817, "speed": 8000}}',""
1.2,POSITION,'{"12": {"position": 2073, "speed": 8000}}',""
1.2,POSITION,'{"13": {"position": 825, "speed": 8000}}',""
