time,instruction,arg_1,arg_2
0.48,POSITION,'{"5": {"position": 1322, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 1324, "speed": 8000}}',""
0.62,POSITION,'{"5": {"position": 1326, "speed": 8000}}',""
0.69,POSITION,'{"5": {"position": 1328, "speed": 8000}}',""
0.73,POSITION,'{"5": {"position": 1330, "speed": 8000}}',""
0.81,POSITION,'{"5": {"position": 1332, "speed": 8000}}',""
0.83,POSITION,'{"5": {"position": 1335, "speed": 8000}}',""
0.88,POSITION,'{"5": {"position": 1337, "speed": 8000}}',""
1.71,POSITION,'{"5": {"position": 1339, "speed": 8000}}',""
1.72,POSITION,'{"5": {"position": 1343, "speed": 8000}}',""
1.73,POSITION,'{"5": {"position": 1346, "speed": 8000}}',""
1.74,POSITION,'{"5": {"position": 1350, "speed": 8000}}',""
1.77,POSITION,'{"5": {"position": 1353, "speed": 8000}}',""
1.78,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1583, "speed": 8000}}',""
1.78,POSITION,'{"5": {"position": 1356, "speed": 8000}}',""
1.93,POSITION,'{"5": {"position": 1359, "speed": 8000}}',""
2.18,POSITION,'{"5": {"position": 1362, "speed": 8000}}',""
2.2,POSITION,'{"5": {"position": 1364, "speed": 8000}}',""
2.22,POSITION,'{"5": {"position": 1367, "speed": 8000}}',""
2.23,POSITION,'{"5": {"position": 1371, "speed": 8000}}',""
2.24,POSITION,'{"7": {"position": 1481, "speed": 8000}, "6": {"position": 1585, "speed": 8000}}',""
2.24,POSITION,'{"5": {"position": 1383, "speed": 8000}}',""
2.26,POSITION,'{"5": {"position": 1393, "speed": 8000}}',""
2.27,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1587, "speed": 8000}}',""
2.27,POSITION,'{"5": {"position": 1422, "speed": 8000}}',""
2.28,POSITION,'{"7": {"position": 1478, "speed": 8000}, "6": {"position": 1588, "speed": 8000}}',""
2.28,POSITION,'{"5": {"position": 1468, "speed": 8000}}',""
2.29,POSITION,'{"5": {"position": 1495, "speed": 8000}}',""
2.31,POSITION,'{"7": {"position": 1476, "speed": 8000}, "6": {"position": 1591, "speed": 8000}}',""
2.31,POSITION,'{"5": {"position": 1546, "speed": 8000}}',""
2.32,POSITION,'{"5": {"position": 1597, "speed": 8000}}',""
2.33,POSITION,'{"7": {"position": 1475, "speed": 8000}, "6": {"position": 1593, "speed": 8000}}',""
2.33,POSITION,'{"5": {"position": 1621, "speed": 8000}}',""
2.34,POSITION,'{"5": {"position": 1659, "speed": 8000}}',""
2.36,POSITION,'{"5": {"position": 1675, "speed": 8000}}',""
2.37,POSITION,'{"5": {"position": 1698, "speed": 8000}}',""
2.38,POSITION,'{"5": {"position": 1706, "speed": 8000}}',""
2.39,POSITION,'{"5": {"position": 1718, "speed": 8000}}',""
2.41,POSITION,'{"7": {"position": 1473, "speed": 8000}, "6": {"position": 1595, "speed": 8000}}',""
2.41,POSITION,'{"5": {"position": 1723, "speed": 8000}}',""
2.42,POSITION,'{"5": {"position": 1728, "speed": 8000}}',""
2.49,POSITION,'{"5": {"position": 1726, "speed": 8000}}',""
2.5,POSITION,'{"5": {"position": 1724, "speed": 8000}}',""
2.51,POSITION,'{"5": {"position": 1722, "speed": 8000}}',""
2.53,POSITION,'{"5": {"position": 1719, "speed": 8000}}',""
2.55,POSITION,'{"5": {"position": 1715, "speed": 8000}}',""
2.57,POSITION,'{"5": {"position": 1707, "speed": 8000}}',""
2.59,POSITION,'{"5": {"position": 1699, "speed": 8000}}',""
2.6,POSITION,'{"5": {"position": 1671, "speed": 8000}}',""
2.61,POSITION,'{"5": {"position": 1651, "speed": 8000}}',""
2.62,POSITION,'{"5": {"position": 1461, "speed": 8000}}',""
2.63,POSITION,'{"5": {"position": 1451, "speed": 8000}}',""
2.65,POSITION,'{"5": {"position": 1409, "speed": 8000}}',""
2.66,POSITION,'{"5": {"position": 1264, "speed": 8000}}',""
2.67,POSITION,'{"7": {"position": 1472, "speed": 8000}, "6": {"position": 1597, "speed": 8000}}',""
2.67,POSITION,'{"5": {"position": 1257, "speed": 8000}}',""
2.68,POSITION,'{"5": {"position": 1238, "speed": 8000}}',""
2.7,POSITION,'{"5": {"position": 1230, "speed": 8000}}',""
2.71,POSITION,'{"5": {"position": 1218, "speed": 8000}}',""
2.72,POSITION,'{"5": {"position": 1214, "speed": 8000}}',""
2.73,POSITION,'{"7": {"position": 1470, "speed": 8000}, "6": {"position": 1599, "speed": 8000}}',""
2.73,POSITION,'{"5": {"position": 1211, "speed": 8000}}',""
2.76,POSITION,'{"5": {"position": 1216, "speed": 8000}}',""
2.77,POSITION,'{"5": {"position": 1220, "speed": 8000}}',""
2.78,POSITION,'{"5": {"position": 1228, "speed": 8000}}',""
2.8,POSITION,'{"5": {"position": 1231, "speed": 8000}}',""
2.81,POSITION,'{"5": {"position": 1235, "speed": 8000}}',""
2.83,POSITION,'{"5": {"position": 1238, "speed": 8000}}',""
2.86,POSITION,'{"5": {"position": 1241, "speed": 8000}}',""
2.88,POSITION,'{"7": {"position": 1471, "speed": 8000}, "6": {"position": 1597, "speed": 8000}}',""
