time,instruction,arg_1,arg_2
0.18,POSITION,'{"0": {"position": 2195, "speed": 8000}}',""
0.21,POSITION,'{"0": {"position": 2190, "speed": 8000}}',""
0.22,POSITION,'{"0": {"position": 2188, "speed": 8000}}',""
0.23,POSITION,'{"0": {"position": 2182, "speed": 8000}}',""
0.25,POSITION,'{"0": {"position": 2178, "speed": 8000}}',""
0.26,POSITION,'{"0": {"position": 2161, "speed": 8000}}',""
0.27,POSITION,'{"0": {"position": 2150, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
0.3,POSITION,'{"0": {"position": 2086, "speed": 8000}}',""
0.31,POSITION,'{"0": {"position": 2070, "speed": 8000}}',""
0.33,POSITION,'{"0": {"position": 2042, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 2031, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 2015, "speed": 8000}}',""
0.36,POSITION,'{"0": {"position": 2004, "speed": 8000}}',""
0.38,POSITION,'{"0": {"position": 2000, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 1995, "speed": 8000}}',""
0.4,POSITION,'{"0": {"position": 1993, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1996, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 2000, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 2002, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 2005, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 2010, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 2012, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 2016, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 2029, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 2036, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 2048, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 2054, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 2063, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 2067, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 2075, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 2085, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 2089, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 2097, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 2100, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 2105, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 2107, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 2112, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 2114, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 2118, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 2128, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 2135, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 2140, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 2150, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 2154, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 2163, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 2170, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 2174, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 2179, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 2181, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 2185, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 2188, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 2193, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 2176, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 2018, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 2001, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1775, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1527, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1282, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1262, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1086, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 851, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 826, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 844, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 856, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 886, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 906, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1083, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1093, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1125, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1146, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 1184, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1200, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 1225, "speed": 8000}}',""
1.33,POSITION,'{"0": {"position": 1234, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 1247, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 1251, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 1258, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 1261, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 1263, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 1266, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 1268, "speed": 8000}}',""
1.44,POSITION,'{"0": {"position": 1270, "speed": 8000}}',""
1.52,POSITION,'{"0": {"position": 1267, "speed": 8000}}',""
1.54,POSITION,'{"0": {"position": 1265, "speed": 8000}}',""
1.55,POSITION,'{"0": {"position": 1262, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 1260, "speed": 8000}}',""
1.6,POSITION,'{"0": {"position": 1258, "speed": 8000}}',""
