time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1414, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1482, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1480, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1477, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1475, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1411, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1473, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1467, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1464, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1453, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1448, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1436, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1431, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1419, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1414, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1405, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1413, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1401, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1398, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1393, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1385, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1381, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1415, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1375, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1372, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1364, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1358, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1347, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1418, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1342, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1422, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1332, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1427, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1323, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1432, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1313, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1308, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1436, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1299, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1438, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1294, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1287, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1284, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1440, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1278, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1276, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1271, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1443, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1268, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1446, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1264, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1449, "speed": 8000}}',""
