time,instruction,arg_1,arg_2
0.0,POSITION,'{"13": {"position": 1553, "speed": 8000}}',""
0.01,POSITION,'{"12": {"position": 1401, "speed": 8000}}',""
0.01,POSITION,'{"13": {"position": 1551, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1399, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1397, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1549, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1394, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1392, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1547, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1399, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1403, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1407, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1413, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1416, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1418, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1422, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1425, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1428, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1431, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1433, "speed": 8000}}',""
