time,instruction,arg_1,arg_2
0.01,POSITION,'{"5": {"position": 1441, "speed": 8000}}',""
0.03,POSITION,'{"7": {"position": 1447, "speed": 8000}, "6": {"position": 1628, "speed": 8000}}',""
0.05,POSITION,'{"7": {"position": 1445, "speed": 8000}, "6": {"position": 1630, "speed": 8000}}',""
0.05,POSITION,'{"5": {"position": 1429, "speed": 8000}}',""
0.06,POSITION,'{"5": {"position": 1421, "speed": 8000}}',""
0.08,POSITION,'{"7": {"position": 1443, "speed": 8000}, "6": {"position": 1633, "speed": 8000}}',""
0.08,POSITION,'{"5": {"position": 1409, "speed": 8000}}',""
0.09,POSITION,'{"7": {"position": 1439, "speed": 8000}, "6": {"position": 1638, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 1373, "speed": 8000}}',""
0.1,POSITION,'{"7": {"position": 1434, "speed": 8000}, "6": {"position": 1644, "speed": 8000}}',""
0.1,POSITION,'{"5": {"position": 1335, "speed": 8000}}',""
0.12,POSITION,'{"7": {"position": 1432, "speed": 8000}, "6": {"position": 1647, "speed": 8000}}',""
0.12,POSITION,'{"5": {"position": 1317, "speed": 8000}}',""
0.13,POSITION,'{"7": {"position": 1426, "speed": 8000}, "6": {"position": 1653, "speed": 8000}}',""
0.13,POSITION,'{"5": {"position": 1280, "speed": 8000}}',""
0.14,POSITION,'{"7": {"position": 1422, "speed": 8000}, "6": {"position": 1659, "speed": 8000}}',""
0.14,POSITION,'{"5": {"position": 1246, "speed": 8000}}',""
0.16,POSITION,'{"7": {"position": 1419, "speed": 8000}, "6": {"position": 1662, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 1230, "speed": 8000}}',""
0.17,POSITION,'{"7": {"position": 1415, "speed": 8000}, "6": {"position": 1668, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 1203, "speed": 8000}}',""
0.18,POSITION,'{"7": {"position": 1412, "speed": 8000}, "6": {"position": 1672, "speed": 8000}}',""
0.18,POSITION,'{"5": {"position": 1182, "speed": 8000}}',""
0.2,POSITION,'{"7": {"position": 1410, "speed": 8000}, "6": {"position": 1673, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1174, "speed": 8000}}',""
0.21,POSITION,'{"7": {"position": 1409, "speed": 8000}, "6": {"position": 1676, "speed": 8000}}',""
0.21,POSITION,'{"5": {"position": 1163, "speed": 8000}}',""
0.22,POSITION,'{"7": {"position": 1407, "speed": 8000}, "6": {"position": 1677, "speed": 8000}}',""
0.22,POSITION,'{"5": {"position": 1161, "speed": 8000}}',""
0.25,POSITION,'{"5": {"position": 1164, "speed": 8000}}',""
0.26,POSITION,'{"7": {"position": 1406, "speed": 8000}, "6": {"position": 1679, "speed": 8000}}',""
0.27,POSITION,'{"5": {"position": 1166, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 1168, "speed": 8000}}',""
0.31,POSITION,'{"5": {"position": 1172, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 1174, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 1177, "speed": 8000}}',""
0.35,POSITION,'{"5": {"position": 1182, "speed": 8000}}',""
0.36,POSITION,'{"5": {"position": 1189, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 1195, "speed": 8000}}',""
0.39,POSITION,'{"5": {"position": 1208, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 1221, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1227, "speed": 8000}}',""
0.43,POSITION,'{"7": {"position": 1408, "speed": 8000}, "6": {"position": 1677, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1239, "speed": 8000}}',""
0.44,POSITION,'{"7": {"position": 1410, "speed": 8000}, "6": {"position": 1674, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 1250, "speed": 8000}}',""
0.46,POSITION,'{"7": {"position": 1413, "speed": 8000}, "6": {"position": 1670, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 1260, "speed": 8000}}',""
0.47,POSITION,'{"5": {"position": 1267, "speed": 8000}}',""
0.49,POSITION,'{"7": {"position": 1416, "speed": 8000}, "6": {"position": 1666, "speed": 8000}}',""
0.49,POSITION,'{"5": {"position": 1279, "speed": 8000}}',""
0.5,POSITION,'{"7": {"position": 1418, "speed": 8000}, "6": {"position": 1664, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 1290, "speed": 8000}}',""
0.51,POSITION,'{"5": {"position": 1296, "speed": 8000}}',""
0.52,POSITION,'{"7": {"position": 1419, "speed": 8000}, "6": {"position": 1662, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1309, "speed": 8000}}',""
0.53,POSITION,'{"5": {"position": 1316, "speed": 8000}}',""
0.55,POSITION,'{"5": {"position": 1328, "speed": 8000}}',""
0.56,POSITION,'{"5": {"position": 1333, "speed": 8000}}',""
0.57,POSITION,'{"7": {"position": 1421, "speed": 8000}, "6": {"position": 1661, "speed": 8000}}',""
0.57,POSITION,'{"5": {"position": 1342, "speed": 8000}}',""
0.58,POSITION,'{"5": {"position": 1345, "speed": 8000}}',""
0.6,POSITION,'{"5": {"position": 1347, "speed": 8000}}',""
0.61,POSITION,'{"5": {"position": 1349, "speed": 8000}}',""
0.62,POSITION,'{"5": {"position": 1352, "speed": 8000}}',""
0.63,POSITION,'{"5": {"position": 1354, "speed": 8000}}',""
0.66,POSITION,'{"5": {"position": 1356, "speed": 8000}}',""
0.68,POSITION,'{"5": {"position": 1358, "speed": 8000}}',""
0.7,POSITION,'{"5": {"position": 1361, "speed": 8000}}',""
0.73,POSITION,'{"5": {"position": 1363, "speed": 8000}}',""
0.76,POSITION,'{"7": {"position": 1419, "speed": 8000}, "6": {"position": 1662, "speed": 8000}}',""
0.76,POSITION,'{"5": {"position": 1365, "speed": 8000}}',""
0.8,POSITION,'{"5": {"position": 1367, "speed": 8000}}',""
0.88,POSITION,'{"5": {"position": 1369, "speed": 8000}}',""
0.96,POSITION,'{"5": {"position": 1377, "speed": 8000}}',""
0.97,POSITION,'{"7": {"position": 1418, "speed": 8000}, "6": {"position": 1664, "speed": 8000}}',""
0.97,POSITION,'{"5": {"position": 1381, "speed": 8000}}',""
0.98,POSITION,'{"5": {"position": 1388, "speed": 8000}}',""
0.99,POSITION,'{"5": {"position": 1391, "speed": 8000}}',""
1.0,POSITION,'{"7": {"position": 1416, "speed": 8000}, "6": {"position": 1666, "speed": 8000}}',""
1.01,POSITION,'{"5": {"position": 1397, "speed": 8000}}',""
1.02,POSITION,'{"5": {"position": 1399, "speed": 8000}}',""
1.03,POSITION,'{"7": {"position": 1414, "speed": 8000}, "6": {"position": 1668, "speed": 8000}}',""
1.03,POSITION,'{"5": {"position": 1403, "speed": 8000}}',""
