time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1641, "speed": 8000}}',
0.01,POSITION,'{"13": {"position": 1188, "speed": 8000}}',
0.02,POSITION,'{"13": {"position": 1192, "speed": 8000}}',
0.03,POSITION,'{"13": {"position": 1200, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 1204, "speed": 8000}}',
0.05,POSITION,'{"12": {"position": 1633, "speed": 8000}}',
0.06,POSITION,'{"13": {"position": 1210, "speed": 8000}}',
0.07,POSITION,'{"12": {"position": 1624, "speed": 8000}}',
0.07,POSITION,'{"13": {"position": 1215, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 1620, "speed": 8000}}',
0.08,POSITION,'{"13": {"position": 1217, "speed": 8000}}',
0.1,POSITION,'{"12": {"position": 1613, "speed": 8000}}',
0.11,POSITION,'{"12": {"position": 1606, "speed": 8000}}',
0.11,POSITION,'{"13": {"position": 1220, "speed": 8000}}',
0.13,POSITION,'{"12": {"position": 1601, "speed": 8000}}',
0.14,POSITION,'{"12": {"position": 1598, "speed": 8000}}',
0.14,POSITION,'{"13": {"position": 1216, "speed": 8000}}',
0.15,POSITION,'{"12": {"position": 1595, "speed": 8000}}',
0.15,POSITION,'{"13": {"position": 1206, "speed": 8000}}',
0.16,POSITION,'{"12": {"position": 1592, "speed": 8000}}',
0.17,POSITION,'{"13": {"position": 1192, "speed": 8000}}',
0.18,POSITION,'{"13": {"position": 1187, "speed": 8000}}',
0.19,POSITION,'{"13": {"position": 1179, "speed": 8000}}',
0.2,POSITION,'{"13": {"position": 1176, "speed": 8000}}',
0.21,POSITION,'{"13": {"position": 1174, "speed": 8000}}',
0.22,POSITION,'{"13": {"position": 1171, "speed": 8000}}',
0.25,POSITION,'{"13": {"position": 1169, "speed": 8000}}',
0.28,POSITION,'{"13": {"position": 1167, "speed": 8000}}',
0.35,POSITION,'{"13": {"position": 1173, "speed": 8000}}',
0.37,POSITION,'{"13": {"position": 1176, "speed": 8000}}',
0.38,POSITION,'{"13": {"position": 1183, "speed": 8000}}',
0.39,POSITION,'{"13": {"position": 1186, "speed": 8000}}',
0.4,POSITION,'{"12": {"position": 1589, "speed": 8000}}',
0.4,POSITION,'{"13": {"position": 1192, "speed": 8000}}',
0.42,POSITION,'{"13": {"position": 1194, "speed": 8000}}',
0.44,POSITION,'{"13": {"position": 1198, "speed": 8000}}',
0.47,POSITION,'{"12": {"position": 1586, "speed": 8000}}',
0.48,POSITION,'{"13": {"position": 1201, "speed": 8000}}',
0.5,POSITION,'{"12": {"position": 1584, "speed": 8000}}',
0.51,POSITION,'{"13": {"position": 1204, "speed": 8000}}',
0.56,POSITION,'{"12": {"position": 1581, "speed": 8000}}',
0.58,POSITION,'{"12": {"position": 1579, "speed": 8000}}',
0.61,POSITION,'{"12": {"position": 1577, "speed": 8000}}',
0.74,POSITION,'{"13": {"position": 1201, "speed": 8000}}',
0.81,POSITION,'{"13": {"position": 1203, "speed": 8000}}',
0.85,POSITION,'{"13": {"position": 1207, "speed": 8000}}',
0.86,POSITION,'{"13": {"position": 1212, "speed": 8000}}',
0.87,POSITION,'{"13": {"position": 1215, "speed": 8000}}',
0.88,POSITION,'{"13": {"position": 1222, "speed": 8000}}',
0.89,POSITION,'{"13": {"position": 1225, "speed": 8000}}',
0.91,POSITION,'{"12": {"position": 1574, "speed": 8000}}',
0.91,POSITION,'{"13": {"position": 1232, "speed": 8000}}',
0.92,POSITION,'{"12": {"position": 1571, "speed": 8000}}',
0.92,POSITION,'{"13": {"position": 1238, "speed": 8000}}',
