time,instruction,arg_1,arg_2
0.0,POSITION,'{"5": {"position": 1569, "speed": 8000}}',
0.02,POSITION,'{"7": {"position": 1433, "speed": 8000}, "6": {"position": 1645, "speed": 8000}}',
0.02,POSITION,'{"5": {"position": 1571, "speed": 8000}}',
0.03,POSITION,'{"5": {"position": 1574, "speed": 8000}}',
0.05,POSITION,'{"5": {"position": 1576, "speed": 8000}}',
0.11,POSITION,'{"5": {"position": 1572, "speed": 8000}}',
0.13,POSITION,'{"5": {"position": 1567, "speed": 8000}}',
0.14,POSITION,'{"5": {"position": 1563, "speed": 8000}}',
0.16,POSITION,'{"5": {"position": 1560, "speed": 8000}}',
0.2,POSITION,'{"7": {"position": 1435, "speed": 8000}, "6": {"position": 1643, "speed": 8000}}',
0.2,POSITION,'{"5": {"position": 1564, "speed": 8000}}',
0.21,POSITION,'{"5": {"position": 1568, "speed": 8000}}',
0.22,POSITION,'{"7": {"position": 1437, "speed": 8000}, "6": {"position": 1641, "speed": 8000}}',
0.22,POSITION,'{"5": {"position": 1571, "speed": 8000}}',
0.24,POSITION,'{"7": {"position": 1439, "speed": 8000}, "6": {"position": 1638, "speed": 8000}}',
0.24,POSITION,'{"5": {"position": 1578, "speed": 8000}}',
0.25,POSITION,'{"7": {"position": 1441, "speed": 8000}, "6": {"position": 1635, "speed": 8000}}',
0.25,POSITION,'{"5": {"position": 1589, "speed": 8000}}',
0.26,POSITION,'{"7": {"position": 1442, "speed": 8000}, "6": {"position": 1633, "speed": 8000}}',
0.26,POSITION,'{"5": {"position": 1598, "speed": 8000}}',
0.28,POSITION,'{"7": {"position": 1444, "speed": 8000}, "6": {"position": 1631, "speed": 8000}}',
0.28,POSITION,'{"5": {"position": 1612, "speed": 8000}}',
0.29,POSITION,'{"7": {"position": 1446, "speed": 8000}, "6": {"position": 1629, "speed": 8000}}',
0.29,POSITION,'{"5": {"position": 1626, "speed": 8000}}',
0.3,POSITION,'{"5": {"position": 1635, "speed": 8000}}',
0.32,POSITION,'{"7": {"position": 1448, "speed": 8000}, "6": {"position": 1626, "speed": 8000}}',
0.32,POSITION,'{"5": {"position": 1654, "speed": 8000}}',
0.33,POSITION,'{"5": {"position": 1663, "speed": 8000}}',
0.35,POSITION,'{"7": {"position": 1450, "speed": 8000}, "6": {"position": 1623, "speed": 8000}}',
0.35,POSITION,'{"5": {"position": 1677, "speed": 8000}}',
0.36,POSITION,'{"7": {"position": 1452, "speed": 8000}, "6": {"position": 1622, "speed": 8000}}',
0.36,POSITION,'{"5": {"position": 1688, "speed": 8000}}',
0.37,POSITION,'{"5": {"position": 1693, "speed": 8000}}',
0.38,POSITION,'{"5": {"position": 1701, "speed": 8000}}',
0.39,POSITION,'{"7": {"position": 1453, "speed": 8000}, "6": {"position": 1620, "speed": 8000}}',
0.4,POSITION,'{"5": {"position": 1704, "speed": 8000}}',
0.41,POSITION,'{"5": {"position": 1710, "speed": 8000}}',
0.42,POSITION,'{"5": {"position": 1714, "speed": 8000}}',
0.45,POSITION,'{"5": {"position": 1717, "speed": 8000}}',
0.46,POSITION,'{"5": {"position": 1719, "speed": 8000}}',
0.48,POSITION,'{"5": {"position": 1721, "speed": 8000}}',
0.52,POSITION,'{"5": {"position": 1723, "speed": 8000}}',
0.59,POSITION,'{"5": {"position": 1717, "speed": 8000}}',
0.6,POSITION,'{"5": {"position": 1709, "speed": 8000}}',
0.61,POSITION,'{"7": {"position": 1451, "speed": 8000}, "6": {"position": 1622, "speed": 8000}}',
0.61,POSITION,'{"5": {"position": 1684, "speed": 8000}}',
0.62,POSITION,'{"7": {"position": 1450, "speed": 8000}, "6": {"position": 1624, "speed": 8000}}',
0.63,POSITION,'{"5": {"position": 1656, "speed": 8000}}',
0.64,POSITION,'{"5": {"position": 1641, "speed": 8000}}',
0.65,POSITION,'{"5": {"position": 1611, "speed": 8000}}',
0.66,POSITION,'{"7": {"position": 1448, "speed": 8000}, "6": {"position": 1626, "speed": 8000}}',
0.66,POSITION,'{"5": {"position": 1595, "speed": 8000}}',
0.68,POSITION,'{"5": {"position": 1569, "speed": 8000}}',
0.69,POSITION,'{"7": {"position": 1446, "speed": 8000}, "6": {"position": 1629, "speed": 8000}}',
0.69,POSITION,'{"5": {"position": 1548, "speed": 8000}}',
0.7,POSITION,'{"5": {"position": 1539, "speed": 8000}}',
0.71,POSITION,'{"7": {"position": 1443, "speed": 8000}, "6": {"position": 1633, "speed": 8000}}',
0.72,POSITION,'{"5": {"position": 1524, "speed": 8000}}',
