time,instruction,arg_1,arg_2
0.4,POSITION,'{"13": {"position": 1552, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1590, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1556, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1592, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1560, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1564, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1594, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1569, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1576, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1597, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1581, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1602, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1594, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1611, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1617, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 1616, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1633, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1626, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1666, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1635, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1695, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1639, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 1706, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1647, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1721, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1653, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1730, "speed": 8000}}',""
0.74,POSITION,'{"12": {"position": 1655, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 1733, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1661, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1735, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1663, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 1667, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 1733, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 1669, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1727, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1721, "speed": 8000}}',""
0.82,POSITION,'{"12": {"position": 1667, "speed": 8000}}',""
0.82,POSITION,'{"13": {"position": 1712, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1708, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1662, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 1698, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 1659, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1690, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1656, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1686, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1652, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 1681, "speed": 8000}}',""
0.89,POSITION,'{"12": {"position": 1649, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 1678, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 1647, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 1670, "speed": 8000}}',""
