time,instruction,arg_1,arg_2
0.49,POSITION,'{"0": {"position": 2171, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 1802, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1648, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1466, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1457, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1432, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1420, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1414, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1419, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1454, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1615, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1770, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1796, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1811, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1824, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1816, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1644, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1635, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1617, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1579, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1554, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1549, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1571, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1773, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1785, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1824, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1853, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1861, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1846, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1828, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1655, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1645, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1642, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1646, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1655, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1667, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1660, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1646, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1469, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1440, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1413, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1260, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1237, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1227, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1215, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1219, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1248, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1388, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1421, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1605, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1618, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1656, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1700, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1721, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1763, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1778, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1789, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1779, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1617, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1450, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1292, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1255, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 1099, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1071, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1051, "speed": 8000}}',""
1.33,POSITION,'{"0": {"position": 1014, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 991, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 993, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 1020, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 1045, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 1207, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 1226, "speed": 8000}}',""
1.41,POSITION,'{"0": {"position": 1399, "speed": 8000}}',""
1.43,POSITION,'{"0": {"position": 1421, "speed": 8000}}',""
1.44,POSITION,'{"0": {"position": 1441, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 1609, "speed": 8000}}',""
1.46,POSITION,'{"0": {"position": 1616, "speed": 8000}}',""
1.48,POSITION,'{"0": {"position": 1635, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 1682, "speed": 8000}}',""
1.5,POSITION,'{"0": {"position": 1725, "speed": 8000}}',""
1.51,POSITION,'{"0": {"position": 1745, "speed": 8000}}',""
1.53,POSITION,'{"0": {"position": 1780, "speed": 8000}}',""
1.54,POSITION,'{"0": {"position": 1794, "speed": 8000}}',""
1.55,POSITION,'{"0": {"position": 1820, "speed": 8000}}',""
1.56,POSITION,'{"0": {"position": 1832, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 1860, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 1900, "speed": 8000}}',""
1.6,POSITION,'{"0": {"position": 1919, "speed": 8000}}',""
1.62,POSITION,'{"0": {"position": 1953, "speed": 8000}}',""
1.63,POSITION,'{"0": {"position": 1969, "speed": 8000}}',""
1.64,POSITION,'{"0": {"position": 2001, "speed": 8000}}',""
1.65,POSITION,'{"0": {"position": 2014, "speed": 8000}}',""
1.66,POSITION,'{"0": {"position": 2034, "speed": 8000}}',""
1.68,POSITION,'{"0": {"position": 2040, "speed": 8000}}',""
1.69,POSITION,'{"0": {"position": 2021, "speed": 8000}}',""
1.7,POSITION,'{"0": {"position": 1789, "speed": 8000}}',""
1.72,POSITION,'{"0": {"position": 1761, "speed": 8000}}',""
1.73,POSITION,'{"0": {"position": 1530, "speed": 8000}}',""
1.74,POSITION,'{"0": {"position": 1368, "speed": 8000}}',""
1.75,POSITION,'{"0": {"position": 1358, "speed": 8000}}',""
1.77,POSITION,'{"0": {"position": 1344, "speed": 8000}}',""
1.78,POSITION,'{"0": {"position": 1374, "speed": 8000}}',""
1.79,POSITION,'{"0": {"position": 1531, "speed": 8000}}',""
1.8,POSITION,'{"0": {"position": 1568, "speed": 8000}}',""
1.82,POSITION,'{"0": {"position": 1592, "speed": 8000}}',""
1.83,POSITION,'{"0": {"position": 1626, "speed": 8000}}',""
1.84,POSITION,'{"0": {"position": 1630, "speed": 8000}}',""
1.86,POSITION,'{"0": {"position": 1626, "speed": 8000}}',""
1.87,POSITION,'{"0": {"position": 1603, "speed": 8000}}',""
1.88,POSITION,'{"0": {"position": 1587, "speed": 8000}}',""
1.89,POSITION,'{"0": {"position": 1555, "speed": 8000}}',""
1.91,POSITION,'{"0": {"position": 1538, "speed": 8000}}',""
1.92,POSITION,'{"0": {"position": 1508, "speed": 8000}}',""
1.93,POSITION,'{"0": {"position": 1486, "speed": 8000}}',""
1.94,POSITION,'{"0": {"position": 1479, "speed": 8000}}',""
1.96,POSITION,'{"0": {"position": 1468, "speed": 8000}}',""
1.97,POSITION,'{"0": {"position": 1466, "speed": 8000}}',""
1.98,POSITION,'{"0": {"position": 1473, "speed": 8000}}',""
1.99,POSITION,'{"0": {"position": 1482, "speed": 8000}}',""
2.01,POSITION,'{"0": {"position": 1504, "speed": 8000}}',""
2.02,POSITION,'{"0": {"position": 1519, "speed": 8000}}',""
2.03,POSITION,'{"0": {"position": 1551, "speed": 8000}}',""
2.04,POSITION,'{"0": {"position": 1568, "speed": 8000}}',""
2.06,POSITION,'{"0": {"position": 1594, "speed": 8000}}',""
2.07,POSITION,'{"0": {"position": 1606, "speed": 8000}}',""
2.08,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
2.09,POSITION,'{"0": {"position": 1644, "speed": 8000}}',""
2.11,POSITION,'{"0": {"position": 1671, "speed": 8000}}',""
2.12,POSITION,'{"0": {"position": 1695, "speed": 8000}}',""
2.13,POSITION,'{"0": {"position": 1707, "speed": 8000}}',""
2.15,POSITION,'{"0": {"position": 1729, "speed": 8000}}',""
2.17,POSITION,'{"0": {"position": 1745, "speed": 8000}}',""
2.18,POSITION,'{"0": {"position": 1758, "speed": 8000}}',""
2.19,POSITION,'{"0": {"position": 1769, "speed": 8000}}',""
2.21,POSITION,'{"0": {"position": 1775, "speed": 8000}}',""
2.22,POSITION,'{"0": {"position": 1787, "speed": 8000}}',""
2.23,POSITION,'{"0": {"position": 1805, "speed": 8000}}',""
2.24,POSITION,'{"0": {"position": 1814, "speed": 8000}}',""
2.26,POSITION,'{"0": {"position": 1824, "speed": 8000}}',""
2.27,POSITION,'{"0": {"position": 1843, "speed": 8000}}',""
2.28,POSITION,'{"0": {"position": 1863, "speed": 8000}}',""
2.3,POSITION,'{"0": {"position": 1874, "speed": 8000}}',""
2.31,POSITION,'{"0": {"position": 1900, "speed": 8000}}',""
2.32,POSITION,'{"0": {"position": 1923, "speed": 8000}}',""
2.33,POSITION,'{"0": {"position": 1934, "speed": 8000}}',""
2.35,POSITION,'{"0": {"position": 1953, "speed": 8000}}',""
2.36,POSITION,'{"0": {"position": 1963, "speed": 8000}}',""
2.37,POSITION,'{"0": {"position": 1983, "speed": 8000}}',""
2.38,POSITION,'{"0": {"position": 1997, "speed": 8000}}',""
2.4,POSITION,'{"0": {"position": 2024, "speed": 8000}}',""
2.41,POSITION,'{"0": {"position": 2036, "speed": 8000}}',""
2.43,POSITION,'{"0": {"position": 2058, "speed": 8000}}',""
2.44,POSITION,'{"0": {"position": 2077, "speed": 8000}}',""
2.45,POSITION,'{"0": {"position": 2093, "speed": 8000}}',""
2.47,POSITION,'{"0": {"position": 2103, "speed": 8000}}',""
2.48,POSITION,'{"0": {"position": 2129, "speed": 8000}}',""
2.49,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.77,POSITION,'{"0": {"position": 2192, "speed": 8000}}',""
2.78,POSITION,'{"0": {"position": 2190, "speed": 8000}}',""
2.8,POSITION,'{"0": {"position": 2185, "speed": 8000}}',""
2.81,POSITION,'{"0": {"position": 2183, "speed": 8000}}',""
2.83,POSITION,'{"0": {"position": 2186, "speed": 8000}}',""
2.85,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.98,POSITION,'{"0": {"position": 2178, "speed": 8000}}',""
2.99,POSITION,'{"0": {"position": 2022, "speed": 8000}}',""
3.0,POSITION,'{"0": {"position": 1998, "speed": 8000}}',""
3.01,POSITION,'{"0": {"position": 1633, "speed": 8000}}',""
3.03,POSITION,'{"0": {"position": 1608, "speed": 8000}}',""
3.04,POSITION,'{"0": {"position": 1382, "speed": 8000}}',""
3.05,POSITION,'{"0": {"position": 1358, "speed": 8000}}',""
3.07,POSITION,'{"0": {"position": 1315, "speed": 8000}}',""
3.08,POSITION,'{"0": {"position": 1300, "speed": 8000}}',""
3.09,POSITION,'{"0": {"position": 1298, "speed": 8000}}',""
3.1,POSITION,'{"0": {"position": 1343, "speed": 8000}}',""
3.12,POSITION,'{"0": {"position": 1534, "speed": 8000}}',""
3.13,POSITION,'{"0": {"position": 1734, "speed": 8000}}',""
3.14,POSITION,'{"0": {"position": 1748, "speed": 8000}}',""
3.15,POSITION,'{"0": {"position": 1789, "speed": 8000}}',""
3.17,POSITION,'{"0": {"position": 1821, "speed": 8000}}',""
3.18,POSITION,'{"0": {"position": 1829, "speed": 8000}}',""
3.19,POSITION,'{"0": {"position": 1821, "speed": 8000}}',""
3.21,POSITION,'{"0": {"position": 1661, "speed": 8000}}',""
3.22,POSITION,'{"0": {"position": 1651, "speed": 8000}}',""
3.23,POSITION,'{"0": {"position": 1613, "speed": 8000}}',""
