time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1189, "speed": 8000}}',""
0.01,POSITION,'{"13": {"position": 1628, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1180, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1630, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1164, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1636, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1150, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1644, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1135, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1654, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1119, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1664, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1112, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1668, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1097, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1676, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1084, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1682, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1073, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1687, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1067, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1689, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1057, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1695, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1051, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1700, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1041, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1710, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1028, "speed": 8000}}',""
