time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1319, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1713, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1711, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1708, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1706, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1317, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1704, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1314, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1318, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1326, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1329, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1337, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1340, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1702, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1342, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1346, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1700, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1350, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1697, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1694, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1354, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1688, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1357, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1682, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1359, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1679, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1673, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1361, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1664, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1659, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1651, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1648, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1641, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1630, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1625, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1617, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1363, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1611, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1366, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1609, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1369, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1607, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1376, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1601, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1382, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1599, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1397, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1590, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1408, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1584, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 1432, "speed": 8000}}',""
