time,instruction,arg_1,arg_2
0.7,POSITION,'{"0": {"position": 2190, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 2007, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1987, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1809, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1623, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1589, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1563, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1515, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1493, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1461, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1454, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1460, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1495, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1690, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1698, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1710, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1684, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1530, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1516, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1304, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1142, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1129, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1084, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1064, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1049, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1038, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1049, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1219, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1404, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1420, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1598, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1619, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1630, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1626, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1607, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1414, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1386, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1363, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1315, "speed": 8000}}',""
