time,instruction,arg_1,arg_2
0.72,POSITION,'{"0": {"position": 2180, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 2154, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 2135, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1972, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1946, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1766, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1714, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1687, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1644, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1629, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1610, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1615, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1624, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1663, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1688, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1714, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1854, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1870, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1903, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1920, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1958, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1981, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 2019, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 2049, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 2059, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 2068, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 2037, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1856, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1845, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1805, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1755, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1732, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1698, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1679, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1686, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1711, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1729, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1772, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1816, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1838, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1879, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1912, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 1927, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1951, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1972, "speed": 8000}}',""
1.33,POSITION,'{"0": {"position": 1982, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 2003, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 2024, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 2032, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 2046, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 2052, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 2060, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 2066, "speed": 8000}}',""
1.43,POSITION,'{"0": {"position": 2069, "speed": 8000}}',""
1.44,POSITION,'{"0": {"position": 2071, "speed": 8000}}',""
1.46,POSITION,'{"0": {"position": 2074, "speed": 8000}}',""
1.47,POSITION,'{"0": {"position": 2076, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 2078, "speed": 8000}}',""
1.53,POSITION,'{"0": {"position": 2080, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 2082, "speed": 8000}}',""
2.06,POSITION,'{"0": {"position": 2080, "speed": 8000}}',""
2.28,POSITION,'{"0": {"position": 2083, "speed": 8000}}',""
2.31,POSITION,'{"0": {"position": 2085, "speed": 8000}}',""
2.34,POSITION,'{"0": {"position": 2087, "speed": 8000}}',""
2.35,POSITION,'{"0": {"position": 2090, "speed": 8000}}',""
2.36,POSITION,'{"0": {"position": 2093, "speed": 8000}}',""
2.39,POSITION,'{"0": {"position": 2098, "speed": 8000}}',""
2.4,POSITION,'{"0": {"position": 2102, "speed": 8000}}',""
2.42,POSITION,'{"0": {"position": 2105, "speed": 8000}}',""
2.44,POSITION,'{"0": {"position": 2108, "speed": 8000}}',""
2.46,POSITION,'{"0": {"position": 2110, "speed": 8000}}',""
2.51,POSITION,'{"0": {"position": 2112, "speed": 8000}}',""
2.66,POSITION,'{"0": {"position": 2114, "speed": 8000}}',""
