time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1538, "speed": 8000}}',""
0.01,POSITION,'{"13": {"position": 1337, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1540, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1341, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1543, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1347, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1546, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1352, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1549, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1356, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1553, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1359, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1556, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1361, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1559, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1365, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1562, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1372, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1380, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1564, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1385, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1395, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1400, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1409, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1562, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1417, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1420, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1556, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1429, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1552, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1434, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1545, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1442, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1536, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1450, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1531, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1454, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1523, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1460, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1516, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1463, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1502, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1467, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1494, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1481, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1470, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1476, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1472, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1468, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1465, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1459, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1475, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1449, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1446, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1442, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1470, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1453, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1446, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1437, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1468, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1391, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1489, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1229, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1692, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1204, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1736, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1041, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1895, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1019, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1929, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 838, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1955, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 800, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 2126, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 2200, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 811, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 815, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 836, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 865, "speed": 8000}}',""
0.82,POSITION,'{"13": {"position": 879, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 909, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 925, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 939, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 964, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 974, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 994, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 1004, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 1021, "speed": 8000}}',""
0.93,POSITION,'{"13": {"position": 1031, "speed": 8000}}',""
