time,instruction,arg_1,arg_2
0.1,POSITION,'{"13": {"position": 1957, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1954, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1950, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1946, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1939, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1936, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 957, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1932, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1930, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 959, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1924, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1921, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 962, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1915, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 968, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1902, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 971, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1895, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 977, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1881, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 984, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1871, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 987, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1868, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 992, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1866, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 995, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1864, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 997, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1000, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1860, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1006, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1843, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1030, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1803, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1050, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1628, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1246, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1432, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1285, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1206, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1459, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1184, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1661, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 945, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1873, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 895, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1890, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 800, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 2047, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 2069, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 2200, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 807, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 821, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 2167, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 837, "speed": 8000}}',""
0.93,POSITION,'{"12": {"position": 2152, "speed": 8000}}',""
0.93,POSITION,'{"13": {"position": 884, "speed": 8000}}',""
0.94,POSITION,'{"12": {"position": 2137, "speed": 8000}}',""
0.94,POSITION,'{"13": {"position": 1028, "speed": 8000}}',""
0.96,POSITION,'{"12": {"position": 2101, "speed": 8000}}',""
0.96,POSITION,'{"13": {"position": 1049, "speed": 8000}}',""
0.97,POSITION,'{"12": {"position": 2076, "speed": 8000}}',""
0.97,POSITION,'{"13": {"position": 1068, "speed": 8000}}',""
0.98,POSITION,'{"12": {"position": 1882, "speed": 8000}}',""
0.98,POSITION,'{"13": {"position": 1121, "speed": 8000}}',""
0.99,POSITION,'{"12": {"position": 1876, "speed": 8000}}',""
0.99,POSITION,'{"13": {"position": 1277, "speed": 8000}}',""
1.01,POSITION,'{"12": {"position": 1844, "speed": 8000}}',""
1.01,POSITION,'{"13": {"position": 1311, "speed": 8000}}',""
1.02,POSITION,'{"12": {"position": 1797, "speed": 8000}}',""
1.02,POSITION,'{"13": {"position": 1358, "speed": 8000}}',""
1.03,POSITION,'{"12": {"position": 1770, "speed": 8000}}',""
1.03,POSITION,'{"13": {"position": 1381, "speed": 8000}}',""
1.05,POSITION,'{"12": {"position": 1715, "speed": 8000}}',""
1.05,POSITION,'{"13": {"position": 1416, "speed": 8000}}',""
1.06,POSITION,'{"12": {"position": 1667, "speed": 8000}}',""
1.06,POSITION,'{"13": {"position": 1439, "speed": 8000}}',""
1.07,POSITION,'{"12": {"position": 1646, "speed": 8000}}',""
1.07,POSITION,'{"13": {"position": 1447, "speed": 8000}}',""
1.09,POSITION,'{"12": {"position": 1606, "speed": 8000}}',""
1.09,POSITION,'{"13": {"position": 1458, "speed": 8000}}',""
1.1,POSITION,'{"12": {"position": 1573, "speed": 8000}}',""
1.1,POSITION,'{"13": {"position": 1464, "speed": 8000}}',""
1.11,POSITION,'{"12": {"position": 1560, "speed": 8000}}',""
1.13,POSITION,'{"12": {"position": 1543, "speed": 8000}}',""
1.13,POSITION,'{"13": {"position": 1470, "speed": 8000}}',""
1.14,POSITION,'{"12": {"position": 1529, "speed": 8000}}',""
1.14,POSITION,'{"13": {"position": 1481, "speed": 8000}}',""
