time,instruction,arg_1,arg_2
0.15,POSITION,'{"0": {"position": 2198, "speed": 8000}}',""
0.17,POSITION,'{"0": {"position": 2187, "speed": 8000}}',""
0.18,POSITION,'{"0": {"position": 2168, "speed": 8000}}',""
0.19,POSITION,'{"0": {"position": 1988, "speed": 8000}}',""
0.2,POSITION,'{"0": {"position": 1955, "speed": 8000}}',""
0.21,POSITION,'{"0": {"position": 1794, "speed": 8000}}',""
0.23,POSITION,'{"0": {"position": 1615, "speed": 8000}}',""
0.24,POSITION,'{"0": {"position": 1595, "speed": 8000}}',""
0.25,POSITION,'{"0": {"position": 1421, "speed": 8000}}',""
0.26,POSITION,'{"0": {"position": 1245, "speed": 8000}}',""
0.27,POSITION,'{"0": {"position": 1079, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 1062, "speed": 8000}}',""
0.3,POSITION,'{"0": {"position": 906, "speed": 8000}}',""
0.31,POSITION,'{"0": {"position": 900, "speed": 8000}}',""
0.32,POSITION,'{"0": {"position": 882, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 873, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 856, "speed": 8000}}',""
0.36,POSITION,'{"0": {"position": 850, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 835, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 825, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 849, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1002, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1195, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1442, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1462, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 1663, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 1810, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 1848, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1876, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 2065, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 2077, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 2086, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 2106, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 2131, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 2143, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 2175, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1984, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1755, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1520, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1505, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1458, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1438, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1417, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1422, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1465, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1655, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1807, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1819, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1839, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1833, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1591, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1566, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1323, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1084, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 914, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 903, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 878, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 869, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 874, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 888, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1065, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1103, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1262, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1295, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1319, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1366, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1389, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1433, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1475, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1503, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1680, "speed": 8000}}',""
