time,instruction,arg_1,arg_2
0.5,POSITION,'{"0": {"position": 2197, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 2020, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1995, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1610, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1434, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1196, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 969, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 931, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 910, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 879, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 871, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 882, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1045, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1063, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1241, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1411, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1430, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1605, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1777, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1801, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1979, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 2014, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 2034, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 2069, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 2099, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 2111, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 2119, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 2112, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1944, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1926, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1736, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1725, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1687, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1648, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1635, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1648, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1700, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1847, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1840, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1636, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1615, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1415, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1200, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1009, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 975, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 954, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 922, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 918, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 944, "speed": 8000}}',""
