time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1215, "speed": 8000}}',""
0.01,POSITION,'{"13": {"position": 1569, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1194, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1581, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1150, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1602, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1106, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1624, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1086, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1635, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1050, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1657, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1022, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1677, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1010, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1686, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 990, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1701, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 977, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1711, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 968, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1717, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 965, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1720, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 961, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1723, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 959, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1725, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 957, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 955, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1727, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1729, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1731, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1735, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1738, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1740, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1734, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 960, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1729, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 987, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1716, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1037, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1690, "speed": 8000}}',""
