time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1449, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1440, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1436, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1428, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1425, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1532, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1417, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1523, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1408, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1511, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1400, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1503, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1396, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1500, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1392, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1375, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1508, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1343, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1524, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1324, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1532, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1280, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1555, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1231, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1582, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1208, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1599, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1163, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1636, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1120, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1673, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1101, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1690, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1070, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1724, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1046, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1756, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1036, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1771, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1015, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1801, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 997, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1823, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 989, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1831, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 975, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1843, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 959, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1850, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 948, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1853, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 938, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1855, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 923, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1857, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 913, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1859, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 909, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 903, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1862, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 901, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1865, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 898, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1876, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 895, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1895, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 1907, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1929, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 892, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1952, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 1963, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1990, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 2002, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 2023, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 2035, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 2046, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 883, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 2066, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 871, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 2084, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 865, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 2094, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 848, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 2114, "speed": 8000}}',""
0.86,POSITION,'{"12": {"position": 800, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 2123, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 2137, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 2143, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 2147, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 2154, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 2161, "speed": 8000}}',""
0.94,POSITION,'{"13": {"position": 2163, "speed": 8000}}',""
0.95,POSITION,'{"13": {"position": 2174, "speed": 8000}}',""
0.96,POSITION,'{"13": {"position": 2199, "speed": 8000}}',""
