time,instruction,arg_1,arg_2
0.33,POSITION,'{"5": {"position": 1466, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 1470, "speed": 8000}}',""
0.35,POSITION,'{"5": {"position": 1481, "speed": 8000}}',""
0.36,POSITION,'{"5": {"position": 1486, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 1494, "speed": 8000}}',""
0.39,POSITION,'{"5": {"position": 1496, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 1499, "speed": 8000}}',""
0.41,POSITION,'{"5": {"position": 1502, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1504, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 1506, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 1509, "speed": 8000}}',""
0.47,POSITION,'{"7": {"position": 1447, "speed": 8000}, "6": {"position": 1627, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1511, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 1514, "speed": 8000}}',""
0.51,POSITION,'{"7": {"position": 1449, "speed": 8000}, "6": {"position": 1625, "speed": 8000}}',""
0.51,POSITION,'{"5": {"position": 1517, "speed": 8000}}',""
0.53,POSITION,'{"5": {"position": 1521, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 1532, "speed": 8000}}',""
0.55,POSITION,'{"5": {"position": 1549, "speed": 8000}}',""
0.57,POSITION,'{"5": {"position": 1560, "speed": 8000}}',""
0.58,POSITION,'{"5": {"position": 1584, "speed": 8000}}',""
0.59,POSITION,'{"5": {"position": 1595, "speed": 8000}}',""
0.6,POSITION,'{"5": {"position": 1619, "speed": 8000}}',""
0.62,POSITION,'{"5": {"position": 1633, "speed": 8000}}',""
0.63,POSITION,'{"5": {"position": 1662, "speed": 8000}}',""
0.64,POSITION,'{"5": {"position": 1674, "speed": 8000}}',""
0.65,POSITION,'{"5": {"position": 1697, "speed": 8000}}',""
0.66,POSITION,'{"5": {"position": 1720, "speed": 8000}}',""
0.68,POSITION,'{"5": {"position": 1732, "speed": 8000}}',""
0.69,POSITION,'{"7": {"position": 1448, "speed": 8000}, "6": {"position": 1627, "speed": 8000}}',""
0.69,POSITION,'{"5": {"position": 1742, "speed": 8000}}',""
0.7,POSITION,'{"5": {"position": 1759, "speed": 8000}}',""
0.71,POSITION,'{"7": {"position": 1446, "speed": 8000}, "6": {"position": 1629, "speed": 8000}}',""
0.71,POSITION,'{"5": {"position": 1766, "speed": 8000}}',""
0.73,POSITION,'{"5": {"position": 1777, "speed": 8000}}',""
0.74,POSITION,'{"5": {"position": 1783, "speed": 8000}}',""
0.75,POSITION,'{"5": {"position": 1799, "speed": 8000}}',""
0.76,POSITION,'{"5": {"position": 1815, "speed": 8000}}',""
0.78,POSITION,'{"5": {"position": 1824, "speed": 8000}}',""
0.79,POSITION,'{"5": {"position": 1834, "speed": 8000}}',""
0.8,POSITION,'{"7": {"position": 1450, "speed": 8000}, "6": {"position": 1624, "speed": 8000}}',""
0.8,POSITION,'{"5": {"position": 1854, "speed": 8000}}',""
0.81,POSITION,'{"7": {"position": 1454, "speed": 8000}, "6": {"position": 1619, "speed": 8000}}',""
0.82,POSITION,'{"5": {"position": 1868, "speed": 8000}}',""
0.83,POSITION,'{"7": {"position": 1457, "speed": 8000}, "6": {"position": 1615, "speed": 8000}}',""
0.83,POSITION,'{"5": {"position": 1873, "speed": 8000}}',""
0.84,POSITION,'{"7": {"position": 1464, "speed": 8000}, "6": {"position": 1606, "speed": 8000}}',""
0.84,POSITION,'{"5": {"position": 1881, "speed": 8000}}',""
0.86,POSITION,'{"7": {"position": 1471, "speed": 8000}, "6": {"position": 1598, "speed": 8000}}',""
0.86,POSITION,'{"5": {"position": 1886, "speed": 8000}}',""
0.87,POSITION,'{"7": {"position": 1474, "speed": 8000}, "6": {"position": 1593, "speed": 8000}}',""
0.87,POSITION,'{"5": {"position": 1888, "speed": 8000}}',""
0.88,POSITION,'{"7": {"position": 1481, "speed": 8000}, "6": {"position": 1586, "speed": 8000}}',""
0.88,POSITION,'{"5": {"position": 1892, "speed": 8000}}',""
0.9,POSITION,'{"7": {"position": 1486, "speed": 8000}, "6": {"position": 1579, "speed": 8000}}',""
0.9,POSITION,'{"5": {"position": 1896, "speed": 8000}}',""
0.91,POSITION,'{"7": {"position": 1489, "speed": 8000}, "6": {"position": 1575, "speed": 8000}}',""
0.91,POSITION,'{"5": {"position": 1898, "speed": 8000}}',""
0.92,POSITION,'{"7": {"position": 1491, "speed": 8000}, "6": {"position": 1573, "speed": 8000}}',""
0.92,POSITION,'{"5": {"position": 1901, "speed": 8000}}',""
0.94,POSITION,'{"7": {"position": 1493, "speed": 8000}, "6": {"position": 1570, "speed": 8000}}',""
0.96,POSITION,'{"5": {"position": 1895, "speed": 8000}}',""
0.97,POSITION,'{"7": {"position": 1495, "speed": 8000}, "6": {"position": 1568, "speed": 8000}}',""
0.97,POSITION,'{"5": {"position": 1875, "speed": 8000}}',""
0.98,POSITION,'{"5": {"position": 1860, "speed": 8000}}',""
1.0,POSITION,'{"5": {"position": 1823, "speed": 8000}}',""
1.01,POSITION,'{"5": {"position": 1800, "speed": 8000}}',""
1.02,POSITION,'{"7": {"position": 1496, "speed": 8000}, "6": {"position": 1566, "speed": 8000}}',""
1.02,POSITION,'{"5": {"position": 1634, "speed": 8000}}',""
1.04,POSITION,'{"5": {"position": 1616, "speed": 8000}}',""
1.05,POSITION,'{"7": {"position": 1498, "speed": 8000}, "6": {"position": 1564, "speed": 8000}}',""
1.05,POSITION,'{"5": {"position": 1596, "speed": 8000}}',""
1.06,POSITION,'{"7": {"position": 1500, "speed": 8000}, "6": {"position": 1561, "speed": 8000}}',""
1.06,POSITION,'{"5": {"position": 1443, "speed": 8000}}',""
1.08,POSITION,'{"7": {"position": 1502, "speed": 8000}, "6": {"position": 1559, "speed": 8000}}',""
1.08,POSITION,'{"5": {"position": 1406, "speed": 8000}}',""
1.09,POSITION,'{"5": {"position": 1361, "speed": 8000}}',""
