time,instruction,arg_1,arg_2
0.01,POSITION,'{"0": {"position": 1983, "speed": 8000}}',""
0.02,POSITION,'{"0": {"position": 2021, "speed": 8000}}',""
0.04,POSITION,'{"0": {"position": 2065, "speed": 8000}}',""
0.05,POSITION,'{"0": {"position": 2090, "speed": 8000}}',""
0.07,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 2149, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1949, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1640, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1415, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1400, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1232, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1220, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1215, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1213, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1231, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1422, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1440, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1596, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1610, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1620, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1579, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1396, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1227, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1213, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1041, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1026, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1014, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 983, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 968, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 946, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 936, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 952, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 976, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1159, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1364, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1570, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1588, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1770, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1963, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1973, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 2020, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 2170, "speed": 8000}}',""
