time,instruction,arg_1,arg_2
0.0,POSITION,'{"0": {"position": 1686, "speed": 8000}}',""
0.02,POSITION,'{"0": {"position": 1842, "speed": 8000}}',""
0.03,POSITION,'{"0": {"position": 1867, "speed": 8000}}',""
0.04,POSITION,'{"0": {"position": 1886, "speed": 8000}}',""
0.06,POSITION,'{"0": {"position": 1925, "speed": 8000}}',""
0.07,POSITION,'{"0": {"position": 1971, "speed": 8000}}',""
0.08,POSITION,'{"0": {"position": 2023, "speed": 8000}}',""
0.1,POSITION,'{"0": {"position": 2181, "speed": 8000}}',""
0.11,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 2147, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 2131, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1722, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1507, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1175, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1023, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 801, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 813, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 830, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 853, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1037, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1232, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1434, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1472, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1494, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1529, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1539, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1528, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1365, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1347, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1181, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1154, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 995, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 975, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 966, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 955, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 961, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 975, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1139, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1150, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1336, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1378, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1571, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1611, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1789, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1822, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1964, "speed": 8000}}',""
