time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1586, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1589, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1591, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1593, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1595, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1598, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1600, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1603, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1605, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1612, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1743, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1621, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1740, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1630, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1738, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1635, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1639, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1735, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1646, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1733, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1651, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1728, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1657, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1719, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1666, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1711, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1672, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1707, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1684, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1699, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1700, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1690, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 1714, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1684, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1720, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1682, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1730, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1678, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1738, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1673, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 1744, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1667, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1758, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1656, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1765, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1648, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 1781, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 1630, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1790, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1621, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1812, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1602, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1831, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1584, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1847, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1569, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1854, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1558, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 1867, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1533, "speed": 8000}}',""
