time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1432, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1439, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1601, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1441, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1597, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1445, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1586, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1447, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1576, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1450, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1569, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1564, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1460, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1562, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1467, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1560, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1470, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1557, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1476, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1555, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1479, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1553, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1476, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1473, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1467, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1465, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1463, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1461, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1459, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1457, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1455, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1453, "speed": 8000}}',""
