time,instruction,arg_1,arg_2
0.08,POSITION,'{"5": {"position": 1911, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 1909, "speed": 8000}}',""
0.11,POSITION,'{"5": {"position": 1906, "speed": 8000}}',""
0.13,POSITION,'{"5": {"position": 1904, "speed": 8000}}',""
0.14,POSITION,'{"5": {"position": 1902, "speed": 8000}}',""
0.18,POSITION,'{"5": {"position": 1899, "speed": 8000}}',""
0.28,POSITION,'{"5": {"position": 1897, "speed": 8000}}',""
0.51,POSITION,'{"7": {"position": 1463, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1893, "speed": 8000}}',""
0.54,POSITION,'{"7": {"position": 1465, "speed": 8000}, "6": {"position": 1605, "speed": 8000}}',""
0.55,POSITION,'{"5": {"position": 1888, "speed": 8000}}',""
0.56,POSITION,'{"7": {"position": 1467, "speed": 8000}, "6": {"position": 1603, "speed": 8000}}',""
0.57,POSITION,'{"7": {"position": 1468, "speed": 8000}, "6": {"position": 1601, "speed": 8000}}',""
0.57,POSITION,'{"5": {"position": 1884, "speed": 8000}}',""
0.59,POSITION,'{"5": {"position": 1882, "speed": 8000}}',""
0.6,POSITION,'{"5": {"position": 1880, "speed": 8000}}',""
0.61,POSITION,'{"7": {"position": 1470, "speed": 8000}, "6": {"position": 1598, "speed": 8000}}',""
0.61,POSITION,'{"5": {"position": 1876, "speed": 8000}}',""
0.62,POSITION,'{"5": {"position": 1872, "speed": 8000}}',""
0.64,POSITION,'{"5": {"position": 1870, "speed": 8000}}',""
0.65,POSITION,'{"7": {"position": 1472, "speed": 8000}, "6": {"position": 1596, "speed": 8000}}',""
0.66,POSITION,'{"5": {"position": 1867, "speed": 8000}}',""
0.68,POSITION,'{"5": {"position": 1865, "speed": 8000}}',""
0.81,POSITION,'{"5": {"position": 1862, "speed": 8000}}',""
0.82,POSITION,'{"5": {"position": 1860, "speed": 8000}}',""
0.83,POSITION,'{"5": {"position": 1858, "speed": 8000}}',""
0.84,POSITION,'{"5": {"position": 1850, "speed": 8000}}',""
0.86,POSITION,'{"7": {"position": 1474, "speed": 8000}, "6": {"position": 1594, "speed": 8000}}',""
0.86,POSITION,'{"5": {"position": 1842, "speed": 8000}}',""
0.87,POSITION,'{"7": {"position": 1475, "speed": 8000}, "6": {"position": 1592, "speed": 8000}}',""
0.87,POSITION,'{"5": {"position": 1824, "speed": 8000}}',""
0.88,POSITION,'{"7": {"position": 1477, "speed": 8000}, "6": {"position": 1590, "speed": 8000}}',""
0.88,POSITION,'{"5": {"position": 1800, "speed": 8000}}',""
0.9,POSITION,'{"5": {"position": 1786, "speed": 8000}}',""
0.91,POSITION,'{"7": {"position": 1479, "speed": 8000}, "6": {"position": 1587, "speed": 8000}}',""
0.91,POSITION,'{"5": {"position": 1761, "speed": 8000}}',""
0.93,POSITION,'{"5": {"position": 1739, "speed": 8000}}',""
0.94,POSITION,'{"5": {"position": 1729, "speed": 8000}}',""
0.95,POSITION,'{"5": {"position": 1713, "speed": 8000}}',""
0.97,POSITION,'{"5": {"position": 1695, "speed": 8000}}',""
0.98,POSITION,'{"5": {"position": 1674, "speed": 8000}}',""
0.99,POSITION,'{"5": {"position": 1662, "speed": 8000}}',""
1.01,POSITION,'{"5": {"position": 1634, "speed": 8000}}',""
1.02,POSITION,'{"5": {"position": 1612, "speed": 8000}}',""
1.03,POSITION,'{"5": {"position": 1449, "speed": 8000}}',""
1.04,POSITION,'{"5": {"position": 1443, "speed": 8000}}',""
1.05,POSITION,'{"7": {"position": 1483, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',""
1.06,POSITION,'{"5": {"position": 1419, "speed": 8000}}',""
1.07,POSITION,'{"7": {"position": 1487, "speed": 8000}, "6": {"position": 1578, "speed": 8000}}',""
1.07,POSITION,'{"5": {"position": 1381, "speed": 8000}}',""
1.08,POSITION,'{"7": {"position": 1488, "speed": 8000}, "6": {"position": 1576, "speed": 8000}}',""
1.08,POSITION,'{"5": {"position": 1361, "speed": 8000}}',""
1.1,POSITION,'{"7": {"position": 1491, "speed": 8000}, "6": {"position": 1573, "speed": 8000}}',""
1.1,POSITION,'{"5": {"position": 1325, "speed": 8000}}',""
1.11,POSITION,'{"5": {"position": 1308, "speed": 8000}}',""
1.12,POSITION,'{"7": {"position": 1493, "speed": 8000}, "6": {"position": 1570, "speed": 8000}}',""
1.12,POSITION,'{"5": {"position": 1269, "speed": 8000}}',""
1.13,POSITION,'{"5": {"position": 1226, "speed": 8000}}',""
1.15,POSITION,'{"5": {"position": 1205, "speed": 8000}}',""
1.16,POSITION,'{"7": {"position": 1494, "speed": 8000}, "6": {"position": 1568, "speed": 8000}}',""
1.16,POSITION,'{"5": {"position": 1164, "speed": 8000}}',""
1.17,POSITION,'{"5": {"position": 1147, "speed": 8000}}',""
1.19,POSITION,'{"5": {"position": 1119, "speed": 8000}}',""
1.2,POSITION,'{"5": {"position": 1095, "speed": 8000}}',""
1.21,POSITION,'{"5": {"position": 1085, "speed": 8000}}',""
1.22,POSITION,'{"7": {"position": 1493, "speed": 8000}, "6": {"position": 1570, "speed": 8000}}',""
1.22,POSITION,'{"5": {"position": 1068, "speed": 8000}}',""
1.24,POSITION,'{"5": {"position": 1061, "speed": 8000}}',""
1.25,POSITION,'{"7": {"position": 1492, "speed": 8000}, "6": {"position": 1572, "speed": 8000}}',""
1.25,POSITION,'{"5": {"position": 1051, "speed": 8000}}',""
1.26,POSITION,'{"5": {"position": 1047, "speed": 8000}}',""
1.28,POSITION,'{"5": {"position": 1042, "speed": 8000}}',""
