time,instruction,arg_1,arg_2
0.63,POSITION,'{"0": {"position": 2134, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 2112, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1953, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1926, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1702, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1444, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1217, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 995, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 978, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 840, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 986, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1007, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1206, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1392, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1419, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1600, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1626, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1803, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1977, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 2004, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 2024, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 2064, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 2085, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 2120, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.23,POSITION,'{"0": {"position": 2143, "speed": 8000}}',""
2.24,POSITION,'{"0": {"position": 2128, "speed": 8000}}',""
2.25,POSITION,'{"0": {"position": 1800, "speed": 8000}}',""
2.26,POSITION,'{"0": {"position": 1532, "speed": 8000}}',""
2.28,POSITION,'{"0": {"position": 1491, "speed": 8000}}',""
2.29,POSITION,'{"0": {"position": 1466, "speed": 8000}}',""
2.31,POSITION,'{"0": {"position": 1315, "speed": 8000}}',""
2.32,POSITION,'{"0": {"position": 1294, "speed": 8000}}',""
2.33,POSITION,'{"0": {"position": 1283, "speed": 8000}}',""
2.34,POSITION,'{"0": {"position": 1266, "speed": 8000}}',""
2.36,POSITION,'{"0": {"position": 1263, "speed": 8000}}',""
2.37,POSITION,'{"0": {"position": 1278, "speed": 8000}}',""
2.38,POSITION,'{"0": {"position": 1457, "speed": 8000}}',""
2.4,POSITION,'{"0": {"position": 1473, "speed": 8000}}',""
2.41,POSITION,'{"0": {"position": 1653, "speed": 8000}}',""
2.42,POSITION,'{"0": {"position": 1816, "speed": 8000}}',""
2.44,POSITION,'{"0": {"position": 1828, "speed": 8000}}',""
2.46,POSITION,'{"0": {"position": 1811, "speed": 8000}}',""
2.47,POSITION,'{"0": {"position": 1613, "speed": 8000}}',""
2.49,POSITION,'{"0": {"position": 1438, "speed": 8000}}',""
2.5,POSITION,'{"0": {"position": 1234, "speed": 8000}}',""
2.51,POSITION,'{"0": {"position": 1191, "speed": 8000}}',""
2.53,POSITION,'{"0": {"position": 1015, "speed": 8000}}',""
2.54,POSITION,'{"0": {"position": 991, "speed": 8000}}',""
2.55,POSITION,'{"0": {"position": 975, "speed": 8000}}',""
2.57,POSITION,'{"0": {"position": 952, "speed": 8000}}',""
2.58,POSITION,'{"0": {"position": 938, "speed": 8000}}',""
2.59,POSITION,'{"0": {"position": 934, "speed": 8000}}',""
2.6,POSITION,'{"0": {"position": 941, "speed": 8000}}',""
2.62,POSITION,'{"0": {"position": 957, "speed": 8000}}',""
2.63,POSITION,'{"0": {"position": 1126, "speed": 8000}}',""
2.64,POSITION,'{"0": {"position": 1315, "speed": 8000}}',""
2.66,POSITION,'{"0": {"position": 1494, "speed": 8000}}',""
2.67,POSITION,'{"0": {"position": 1535, "speed": 8000}}',""
2.68,POSITION,'{"0": {"position": 1699, "speed": 8000}}',""
2.69,POSITION,'{"0": {"position": 1719, "speed": 8000}}',""
2.71,POSITION,'{"0": {"position": 1754, "speed": 8000}}',""
2.72,POSITION,'{"0": {"position": 1777, "speed": 8000}}',""
2.73,POSITION,'{"0": {"position": 1946, "speed": 8000}}',""
2.75,POSITION,'{"0": {"position": 1981, "speed": 8000}}',""
2.76,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
