time,instruction,arg_1,arg_2
0.61,POSITION,'{"0": {"position": 2125, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 2103, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1862, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1585, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1255, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1113, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 932, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 819, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 847, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1033, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1206, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1371, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1382, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1417, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1439, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1463, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1633, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1667, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1694, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1890, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1934, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1961, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 2010, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 2053, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 2075, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.14,POSITION,'{"0": {"position": 2165, "speed": 8000}}',""
2.15,POSITION,'{"0": {"position": 1933, "speed": 8000}}',""
2.17,POSITION,'{"0": {"position": 1790, "speed": 8000}}',""
2.18,POSITION,'{"0": {"position": 1489, "speed": 8000}}',""
2.19,POSITION,'{"0": {"position": 1465, "speed": 8000}}',""
2.2,POSITION,'{"0": {"position": 1238, "speed": 8000}}',""
2.22,POSITION,'{"0": {"position": 1095, "speed": 8000}}',""
2.23,POSITION,'{"0": {"position": 1071, "speed": 8000}}',""
2.24,POSITION,'{"0": {"position": 1040, "speed": 8000}}',""
2.26,POSITION,'{"0": {"position": 1025, "speed": 8000}}',""
2.27,POSITION,'{"0": {"position": 1006, "speed": 8000}}',""
2.28,POSITION,'{"0": {"position": 1022, "speed": 8000}}',""
2.29,POSITION,'{"0": {"position": 1049, "speed": 8000}}',""
2.31,POSITION,'{"0": {"position": 1278, "speed": 8000}}',""
2.32,POSITION,'{"0": {"position": 1501, "speed": 8000}}',""
2.33,POSITION,'{"0": {"position": 1742, "speed": 8000}}',""
2.34,POSITION,'{"0": {"position": 1754, "speed": 8000}}',""
2.36,POSITION,'{"0": {"position": 1778, "speed": 8000}}',""
2.37,POSITION,'{"0": {"position": 1764, "speed": 8000}}',""
2.39,POSITION,'{"0": {"position": 1611, "speed": 8000}}',""
2.4,POSITION,'{"0": {"position": 1454, "speed": 8000}}',""
2.41,POSITION,'{"0": {"position": 1445, "speed": 8000}}',""
2.42,POSITION,'{"0": {"position": 1416, "speed": 8000}}',""
2.44,POSITION,'{"0": {"position": 1401, "speed": 8000}}',""
2.45,POSITION,'{"0": {"position": 1387, "speed": 8000}}',""
2.46,POSITION,'{"0": {"position": 1399, "speed": 8000}}',""
2.48,POSITION,'{"0": {"position": 1407, "speed": 8000}}',""
2.49,POSITION,'{"0": {"position": 1409, "speed": 8000}}',""
2.5,POSITION,'{"0": {"position": 1247, "speed": 8000}}',""
2.52,POSITION,'{"0": {"position": 1231, "speed": 8000}}',""
2.53,POSITION,'{"0": {"position": 1065, "speed": 8000}}',""
2.54,POSITION,'{"0": {"position": 917, "speed": 8000}}',""
2.55,POSITION,'{"0": {"position": 890, "speed": 8000}}',""
2.57,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
2.59,POSITION,'{"0": {"position": 807, "speed": 8000}}',""
2.6,POSITION,'{"0": {"position": 838, "speed": 8000}}',""
2.62,POSITION,'{"0": {"position": 1040, "speed": 8000}}',""
2.63,POSITION,'{"0": {"position": 1059, "speed": 8000}}',""
2.64,POSITION,'{"0": {"position": 1224, "speed": 8000}}',""
2.65,POSITION,'{"0": {"position": 1411, "speed": 8000}}',""
2.67,POSITION,'{"0": {"position": 1553, "speed": 8000}}',""
2.68,POSITION,'{"0": {"position": 1569, "speed": 8000}}',""
2.69,POSITION,'{"0": {"position": 1770, "speed": 8000}}',""
2.71,POSITION,'{"0": {"position": 1797, "speed": 8000}}',""
2.72,POSITION,'{"0": {"position": 1846, "speed": 8000}}',""
2.74,POSITION,'{"0": {"position": 1993, "speed": 8000}}',""
2.75,POSITION,'{"0": {"position": 2020, "speed": 8000}}',""
2.76,POSITION,'{"0": {"position": 2040, "speed": 8000}}',""
2.77,POSITION,'{"0": {"position": 2089, "speed": 8000}}',""
2.79,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
