time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1647, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1650, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1653, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1483, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1655, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1657, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1660, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1481, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1662, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1479, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1664, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1667, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1477, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1475, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1669, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1473, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1471, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1667, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1469, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1467, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1465, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1463, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1459, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1456, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1670, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1454, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1674, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1452, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1678, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1680, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1682, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1450, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1684, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1448, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 1692, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1443, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 1703, "speed": 8000}}',""
0.82,POSITION,'{"13": {"position": 1436, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 1711, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1431, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1727, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 1420, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 1736, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1413, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1756, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1398, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1765, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 1392, "speed": 8000}}',""
0.89,POSITION,'{"12": {"position": 1787, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 1379, "speed": 8000}}',""
0.9,POSITION,'{"12": {"position": 1813, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 1361, "speed": 8000}}',""
