time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1432, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1497, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1437, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1492, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1442, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1487, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1485, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1445, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1482, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1448, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1480, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1478, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1475, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1473, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1450, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1470, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1468, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1466, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1463, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1461, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1452, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1459, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1457, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1455, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1455, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1458, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1452, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1450, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1447, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1445, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1460, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1442, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1439, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1462, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1437, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1465, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1435, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1467, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1433, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1470, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 1472, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1475, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1431, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1478, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1480, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1483, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1429, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 1485, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 1489, "speed": 8000}}',""
0.86,POSITION,'{"12": {"position": 1495, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 1424, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1515, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1406, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1529, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 1393, "speed": 8000}}',""
0.9,POSITION,'{"12": {"position": 1567, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 1350, "speed": 8000}}',""
0.91,POSITION,'{"12": {"position": 1617, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 1297, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 1644, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 1152, "speed": 8000}}',""
0.94,POSITION,'{"12": {"position": 1695, "speed": 8000}}',""
0.94,POSITION,'{"13": {"position": 1135, "speed": 8000}}',""
0.95,POSITION,'{"12": {"position": 1859, "speed": 8000}}',""
0.95,POSITION,'{"13": {"position": 1098, "speed": 8000}}',""
0.96,POSITION,'{"12": {"position": 1863, "speed": 8000}}',""
0.96,POSITION,'{"13": {"position": 1078, "speed": 8000}}',""
0.98,POSITION,'{"12": {"position": 1889, "speed": 8000}}',""
