time,instruction,arg_1,arg_2
0.77,POSITION,'{"0": {"position": 2155, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 2137, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1783, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1627, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1394, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1377, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1350, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1191, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1177, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1159, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1149, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1115, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 950, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 945, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 930, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 923, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 916, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 919, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 944, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1123, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1134, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1302, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1319, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1516, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1528, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1550, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1719, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1734, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1771, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1822, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1850, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1992, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 2011, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 2042, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 2059, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 2097, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 2117, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.09,POSITION,'{"0": {"position": 2174, "speed": 8000}}',""
