time,instruction,arg_1,arg_2
0.6,POSITION,'{"0": {"position": 2196, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 2188, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 2180, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 2162, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 2152, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 2135, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 2124, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 2121, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 2124, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 2136, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 2157, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 2135, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1643, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1454, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1268, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1060, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1023, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 996, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 829, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 814, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 834, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 879, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1033, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1065, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1090, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1257, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1279, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1452, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1477, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1658, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1683, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1840, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1853, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1896, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1920, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 2085, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 2147, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 2156, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 2164, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 2176, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 2180, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.11,POSITION,'{"0": {"position": 2182, "speed": 8000}}',""
2.12,POSITION,'{"0": {"position": 2166, "speed": 8000}}',""
2.14,POSITION,'{"0": {"position": 1993, "speed": 8000}}',""
2.15,POSITION,'{"0": {"position": 1979, "speed": 8000}}',""
2.16,POSITION,'{"0": {"position": 1782, "speed": 8000}}',""
2.18,POSITION,'{"0": {"position": 1770, "speed": 8000}}',""
2.19,POSITION,'{"0": {"position": 1726, "speed": 8000}}',""
2.2,POSITION,'{"0": {"position": 1672, "speed": 8000}}',""
2.21,POSITION,'{"0": {"position": 1528, "speed": 8000}}',""
2.23,POSITION,'{"0": {"position": 1525, "speed": 8000}}',""
2.24,POSITION,'{"0": {"position": 1523, "speed": 8000}}',""
2.25,POSITION,'{"0": {"position": 1528, "speed": 8000}}',""
2.27,POSITION,'{"0": {"position": 1559, "speed": 8000}}',""
2.28,POSITION,'{"0": {"position": 1725, "speed": 8000}}',""
2.29,POSITION,'{"0": {"position": 1885, "speed": 8000}}',""
2.3,POSITION,'{"0": {"position": 1902, "speed": 8000}}',""
2.32,POSITION,'{"0": {"position": 2069, "speed": 8000}}',""
2.33,POSITION,'{"0": {"position": 2089, "speed": 8000}}',""
2.34,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.35,POSITION,'{"0": {"position": 2193, "speed": 8000}}',""
2.37,POSITION,'{"0": {"position": 2162, "speed": 8000}}',""
2.38,POSITION,'{"0": {"position": 1947, "speed": 8000}}',""
2.4,POSITION,'{"0": {"position": 1716, "speed": 8000}}',""
2.41,POSITION,'{"0": {"position": 1397, "speed": 8000}}',""
2.42,POSITION,'{"0": {"position": 1089, "speed": 8000}}',""
2.44,POSITION,'{"0": {"position": 924, "speed": 8000}}',""
2.45,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
2.51,POSITION,'{"0": {"position": 822, "speed": 8000}}',""
2.52,POSITION,'{"0": {"position": 828, "speed": 8000}}',""
2.53,POSITION,'{"0": {"position": 842, "speed": 8000}}',""
2.57,POSITION,'{"0": {"position": 839, "speed": 8000}}',""
2.6,POSITION,'{"0": {"position": 869, "speed": 8000}}',""
2.62,POSITION,'{"0": {"position": 1010, "speed": 8000}}',""
2.63,POSITION,'{"0": {"position": 1196, "speed": 8000}}',""
2.64,POSITION,'{"0": {"position": 1410, "speed": 8000}}',""
2.65,POSITION,'{"0": {"position": 1425, "speed": 8000}}',""
2.67,POSITION,'{"0": {"position": 1602, "speed": 8000}}',""
2.68,POSITION,'{"0": {"position": 1612, "speed": 8000}}',""
2.69,POSITION,'{"0": {"position": 1658, "speed": 8000}}',""
2.71,POSITION,'{"0": {"position": 1841, "speed": 8000}}',""
2.72,POSITION,'{"0": {"position": 1852, "speed": 8000}}',""
2.73,POSITION,'{"0": {"position": 1893, "speed": 8000}}',""
2.74,POSITION,'{"0": {"position": 1915, "speed": 8000}}',""
2.75,POSITION,'{"0": {"position": 1962, "speed": 8000}}',""
2.77,POSITION,'{"0": {"position": 1984, "speed": 8000}}',""
2.78,POSITION,'{"0": {"position": 2020, "speed": 8000}}',""
2.79,POSITION,'{"0": {"position": 2053, "speed": 8000}}',""
2.81,POSITION,'{"0": {"position": 2070, "speed": 8000}}',""
2.82,POSITION,'{"0": {"position": 2110, "speed": 8000}}',""
2.83,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
4.08,POSITION,'{"0": {"position": 2185, "speed": 8000}}',""
4.09,POSITION,'{"0": {"position": 2177, "speed": 8000}}',""
4.1,POSITION,'{"0": {"position": 2164, "speed": 8000}}',""
4.11,POSITION,'{"0": {"position": 1995, "speed": 8000}}',""
4.13,POSITION,'{"0": {"position": 1969, "speed": 8000}}',""
4.14,POSITION,'{"0": {"position": 1587, "speed": 8000}}',""
4.15,POSITION,'{"0": {"position": 1435, "speed": 8000}}',""
4.16,POSITION,'{"0": {"position": 1189, "speed": 8000}}',""
4.17,POSITION,'{"0": {"position": 1163, "speed": 8000}}',""
4.19,POSITION,'{"0": {"position": 918, "speed": 8000}}',""
4.2,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
4.31,POSITION,'{"0": {"position": 844, "speed": 8000}}',""
4.33,POSITION,'{"0": {"position": 1170, "speed": 8000}}',""
4.34,POSITION,'{"0": {"position": 1197, "speed": 8000}}',""
4.35,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
4.37,POSITION,'{"0": {"position": 1663, "speed": 8000}}',""
4.38,POSITION,'{"0": {"position": 1859, "speed": 8000}}',""
4.39,POSITION,'{"0": {"position": 1877, "speed": 8000}}',""
4.41,POSITION,'{"0": {"position": 2082, "speed": 8000}}',""
4.42,POSITION,'{"0": {"position": 2094, "speed": 8000}}',""
4.43,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
4.56,POSITION,'{"0": {"position": 2176, "speed": 8000}}',""
4.57,POSITION,'{"0": {"position": 2159, "speed": 8000}}',""
4.58,POSITION,'{"0": {"position": 1996, "speed": 8000}}',""
4.6,POSITION,'{"0": {"position": 1780, "speed": 8000}}',""
4.61,POSITION,'{"0": {"position": 1533, "speed": 8000}}',""
4.62,POSITION,'{"0": {"position": 1510, "speed": 8000}}',""
4.63,POSITION,'{"0": {"position": 1266, "speed": 8000}}',""
4.65,POSITION,'{"0": {"position": 1001, "speed": 8000}}',""
4.66,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
4.81,POSITION,'{"0": {"position": 861, "speed": 8000}}',""
4.82,POSITION,'{"0": {"position": 902, "speed": 8000}}',""
4.83,POSITION,'{"0": {"position": 1107, "speed": 8000}}',""
4.84,POSITION,'{"0": {"position": 1133, "speed": 8000}}',""
4.85,POSITION,'{"0": {"position": 1300, "speed": 8000}}',""
4.87,POSITION,'{"0": {"position": 1314, "speed": 8000}}',""
4.88,POSITION,'{"0": {"position": 1500, "speed": 8000}}',""
4.89,POSITION,'{"0": {"position": 1532, "speed": 8000}}',""
4.91,POSITION,'{"0": {"position": 1557, "speed": 8000}}',""
4.92,POSITION,'{"0": {"position": 1720, "speed": 8000}}',""
4.93,POSITION,'{"0": {"position": 1740, "speed": 8000}}',""
4.95,POSITION,'{"0": {"position": 1760, "speed": 8000}}',""
4.96,POSITION,'{"0": {"position": 1770, "speed": 8000}}',""
4.97,POSITION,'{"0": {"position": 1799, "speed": 8000}}',""
4.99,POSITION,'{"0": {"position": 1816, "speed": 8000}}',""
5.0,POSITION,'{"0": {"position": 1860, "speed": 8000}}',""
5.01,POSITION,'{"0": {"position": 1885, "speed": 8000}}',""
5.02,POSITION,'{"0": {"position": 1931, "speed": 8000}}',""
5.04,POSITION,'{"0": {"position": 1978, "speed": 8000}}',""
5.05,POSITION,'{"0": {"position": 1998, "speed": 8000}}',""
5.06,POSITION,'{"0": {"position": 2031, "speed": 8000}}',""
5.08,POSITION,'{"0": {"position": 2063, "speed": 8000}}',""
5.09,POSITION,'{"0": {"position": 2080, "speed": 8000}}',""
5.1,POSITION,'{"0": {"position": 2120, "speed": 8000}}',""
5.11,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
