time,instruction,arg_1,arg_2
0.28,POSITION,'{"12": {"position": 1067, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1071, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1726, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1082, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1717, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1094, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1709, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1099, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1706, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1106, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1700, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1110, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1697, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1116, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1691, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1121, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1685, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1125, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1681, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1134, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1670, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1148, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1658, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1156, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1653, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1170, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1644, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1180, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1634, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1187, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1625, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1189, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1620, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1195, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1612, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1204, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1605, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1210, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1600, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1225, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1588, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1233, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1582, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1246, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1571, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1255, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1564, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1258, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1562, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 1261, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1559, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1264, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1556, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1269, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1548, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1274, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1543, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 1291, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1526, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1307, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1516, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1337, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1490, "speed": 8000}}',""
