time,instruction,arg_1,arg_2
0.0,POSITION,'{"13": {"position": 2047, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 2042, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 2039, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 2034, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 907, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 2028, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 912, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 2023, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 914, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 2021, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 917, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 2017, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 921, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 2014, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 927, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 2011, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 932, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 2009, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 934, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 938, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 2007, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 941, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 944, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 2004, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 2001, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 946, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1998, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1996, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1994, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1992, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 949, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1990, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 952, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1982, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1978, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 954, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1974, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 957, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1965, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 962, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1956, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 965, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1951, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 970, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1942, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 973, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1935, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 976, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1929, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 978, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1926, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1920, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 981, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1918, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1915, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 983, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1911, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 986, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1905, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 989, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1901, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 991, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1893, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1886, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 994, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1882, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1875, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 996, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1872, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 999, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1866, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1864, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1006, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1861, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1010, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1023, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1856, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1034, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1852, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1065, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1840, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1103, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1820, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 1125, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1805, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1177, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1771, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1334, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1728, "speed": 8000}}',""
0.74,POSITION,'{"12": {"position": 1343, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1705, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1372, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1660, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1413, "speed": 8000}}',""
