time,instruction,arg_1,arg_2
0.24,POSITION,'{"0": {"position": 2190, "speed": 8000}}',""
0.25,POSITION,'{"0": {"position": 2167, "speed": 8000}}',""
0.26,POSITION,'{"0": {"position": 2004, "speed": 8000}}',""
0.28,POSITION,'{"0": {"position": 1752, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 1512, "speed": 8000}}',""
0.3,POSITION,'{"0": {"position": 1497, "speed": 8000}}',""
0.32,POSITION,'{"0": {"position": 1332, "speed": 8000}}',""
0.33,POSITION,'{"0": {"position": 1321, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 1316, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 1324, "speed": 8000}}',""
0.38,POSITION,'{"0": {"position": 1360, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 1387, "speed": 8000}}',""
0.4,POSITION,'{"0": {"position": 1577, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 1600, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1653, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1697, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1714, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1743, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 1774, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 1790, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 1808, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1802, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1574, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1376, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1357, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1196, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1180, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1142, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1123, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1125, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1145, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1156, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1175, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1181, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1184, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1187, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1196, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1206, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1243, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1400, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1417, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1465, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1492, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1640, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1675, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1698, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1849, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1869, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1891, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 2060, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 2064, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 2085, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 2174, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 2141, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1971, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1788, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1771, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1606, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1565, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1541, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1506, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1495, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1498, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1514, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1539, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1732, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1774, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1799, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1954, "speed": 8000}}',""
