time,instruction,arg_1,arg_2
1.78,POSITION,'{"0": {"position": 2194, "speed": 8000}}',""
1.79,POSITION,'{"0": {"position": 2192, "speed": 8000}}',""
1.8,POSITION,'{"0": {"position": 2184, "speed": 8000}}',""
1.82,POSITION,'{"0": {"position": 2177, "speed": 8000}}',""
1.83,POSITION,'{"0": {"position": 2161, "speed": 8000}}',""
1.84,POSITION,'{"0": {"position": 2145, "speed": 8000}}',""
1.86,POSITION,'{"0": {"position": 2138, "speed": 8000}}',""
1.87,POSITION,'{"0": {"position": 2127, "speed": 8000}}',""
1.89,POSITION,'{"0": {"position": 2120, "speed": 8000}}',""
1.9,POSITION,'{"0": {"position": 2117, "speed": 8000}}',""
1.91,POSITION,'{"0": {"position": 2113, "speed": 8000}}',""
1.94,POSITION,'{"0": {"position": 2110, "speed": 8000}}',""
1.95,POSITION,'{"0": {"position": 2108, "speed": 8000}}',""
1.99,POSITION,'{"0": {"position": 2105, "speed": 8000}}',""
2.0,POSITION,'{"0": {"position": 2103, "speed": 8000}}',""
2.01,POSITION,'{"0": {"position": 2101, "speed": 8000}}',""
2.05,POSITION,'{"0": {"position": 2098, "speed": 8000}}',""
2.06,POSITION,'{"0": {"position": 2096, "speed": 8000}}',""
2.08,POSITION,'{"0": {"position": 2094, "speed": 8000}}',""
2.1,POSITION,'{"0": {"position": 2090, "speed": 8000}}',""
2.11,POSITION,'{"0": {"position": 2088, "speed": 8000}}',""
2.13,POSITION,'{"0": {"position": 2086, "speed": 8000}}',""
2.15,POSITION,'{"0": {"position": 2084, "speed": 8000}}',""
2.17,POSITION,'{"0": {"position": 2082, "speed": 8000}}',""
2.2,POSITION,'{"0": {"position": 2079, "speed": 8000}}',""
2.24,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
2.25,POSITION,'{"0": {"position": 2071, "speed": 8000}}',""
2.27,POSITION,'{"0": {"position": 2065, "speed": 8000}}',""
2.28,POSITION,'{"0": {"position": 2055, "speed": 8000}}',""
2.3,POSITION,'{"0": {"position": 2047, "speed": 8000}}',""
