time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1277, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1491, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1259, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1502, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1244, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1513, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1230, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1526, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1213, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1536, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1203, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1541, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1186, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1553, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1170, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1567, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1145, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1583, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1133, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1588, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1088, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1607, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1070, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1613, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1036, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1625, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1007, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1640, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 983, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1654, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 966, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1665, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 959, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1670, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 948, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1678, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 940, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1684, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 934, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1689, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 931, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1691, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 925, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1695, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 919, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1705, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 913, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1717, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 911, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1722, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 908, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1736, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 906, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1752, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 904, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1770, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 902, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1777, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1792, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1808, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1823, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 899, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1830, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1841, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1848, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 897, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1851, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1855, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1857, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 894, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1861, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1864, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 892, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1870, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1875, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 890, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1882, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1885, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 885, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1892, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 880, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1898, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 877, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1900, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 872, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1905, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 870, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1908, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 865, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1913, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 862, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1916, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1918, "speed": 8000}}',""
0.74,POSITION,'{"12": {"position": 860, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 1920, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 858, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1918, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1910, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 856, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1893, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1881, "speed": 8000}}',""
0.82,POSITION,'{"13": {"position": 1856, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 1827, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 864, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1800, "speed": 8000}}',""
0.86,POSITION,'{"12": {"position": 869, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 1787, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 877, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 1764, "speed": 8000}}',""
0.9,POSITION,'{"12": {"position": 885, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 1740, "speed": 8000}}',""
0.91,POSITION,'{"12": {"position": 894, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 1718, "speed": 8000}}',""
