time,instruction,arg_1,arg_2
0.61,POSITION,'{"0": {"position": 2183, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1988, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1847, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1593, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1578, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1539, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1522, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1508, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1517, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1686, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1849, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1869, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 2039, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 2067, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 2160, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 2121, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1929, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1748, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1554, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1507, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1284, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1263, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1211, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1184, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1142, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1126, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1106, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1102, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1107, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1112, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1136, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1175, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1200, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1367, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1395, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1419, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1598, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1606, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1653, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1806, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1846, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 2003, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 2030, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 2066, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 2086, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 2123, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.07,POSITION,'{"0": {"position": 2193, "speed": 8000}}',""
2.08,POSITION,'{"0": {"position": 2189, "speed": 8000}}',""
2.09,POSITION,'{"0": {"position": 2170, "speed": 8000}}',""
2.11,POSITION,'{"0": {"position": 2157, "speed": 8000}}',""
2.12,POSITION,'{"0": {"position": 2113, "speed": 8000}}',""
2.13,POSITION,'{"0": {"position": 1953, "speed": 8000}}',""
2.14,POSITION,'{"0": {"position": 1787, "speed": 8000}}',""
2.15,POSITION,'{"0": {"position": 1770, "speed": 8000}}',""
2.16,POSITION,'{"0": {"position": 1603, "speed": 8000}}',""
2.18,POSITION,'{"0": {"position": 1585, "speed": 8000}}',""
2.19,POSITION,'{"0": {"position": 1545, "speed": 8000}}',""
2.2,POSITION,'{"0": {"position": 1532, "speed": 8000}}',""
2.21,POSITION,'{"0": {"position": 1540, "speed": 8000}}',""
2.23,POSITION,'{"0": {"position": 1559, "speed": 8000}}',""
2.24,POSITION,'{"0": {"position": 1749, "speed": 8000}}',""
2.25,POSITION,'{"0": {"position": 1910, "speed": 8000}}',""
2.26,POSITION,'{"0": {"position": 1919, "speed": 8000}}',""
2.28,POSITION,'{"0": {"position": 1921, "speed": 8000}}',""
2.29,POSITION,'{"0": {"position": 1882, "speed": 8000}}',""
2.3,POSITION,'{"0": {"position": 1734, "speed": 8000}}',""
2.32,POSITION,'{"0": {"position": 1703, "speed": 8000}}',""
2.33,POSITION,'{"0": {"position": 1680, "speed": 8000}}',""
2.34,POSITION,'{"0": {"position": 1536, "speed": 8000}}',""
2.36,POSITION,'{"0": {"position": 1531, "speed": 8000}}',""
2.37,POSITION,'{"0": {"position": 1520, "speed": 8000}}',""
2.38,POSITION,'{"0": {"position": 1523, "speed": 8000}}',""
2.39,POSITION,'{"0": {"position": 1531, "speed": 8000}}',""
2.41,POSITION,'{"0": {"position": 1560, "speed": 8000}}',""
2.42,POSITION,'{"0": {"position": 1575, "speed": 8000}}',""
2.43,POSITION,'{"0": {"position": 1586, "speed": 8000}}',""
2.44,POSITION,'{"0": {"position": 1602, "speed": 8000}}',""
2.45,POSITION,'{"0": {"position": 1604, "speed": 8000}}',""
2.47,POSITION,'{"0": {"position": 1586, "speed": 8000}}',""
2.48,POSITION,'{"0": {"position": 1569, "speed": 8000}}',""
2.49,POSITION,'{"0": {"position": 1525, "speed": 8000}}',""
2.5,POSITION,'{"0": {"position": 1503, "speed": 8000}}',""
2.51,POSITION,'{"0": {"position": 1454, "speed": 8000}}',""
2.53,POSITION,'{"0": {"position": 1308, "speed": 8000}}',""
2.54,POSITION,'{"0": {"position": 1299, "speed": 8000}}',""
2.55,POSITION,'{"0": {"position": 1283, "speed": 8000}}',""
2.56,POSITION,'{"0": {"position": 1243, "speed": 8000}}',""
2.58,POSITION,'{"0": {"position": 1197, "speed": 8000}}',""
2.59,POSITION,'{"0": {"position": 1171, "speed": 8000}}',""
2.6,POSITION,'{"0": {"position": 1126, "speed": 8000}}',""
2.62,POSITION,'{"0": {"position": 1105, "speed": 8000}}',""
2.63,POSITION,'{"0": {"position": 1074, "speed": 8000}}',""
2.64,POSITION,'{"0": {"position": 1054, "speed": 8000}}',""
2.66,POSITION,'{"0": {"position": 1050, "speed": 8000}}',""
2.68,POSITION,'{"0": {"position": 1061, "speed": 8000}}',""
2.69,POSITION,'{"0": {"position": 1097, "speed": 8000}}',""
2.7,POSITION,'{"0": {"position": 1124, "speed": 8000}}',""
2.72,POSITION,'{"0": {"position": 1280, "speed": 8000}}',""
2.73,POSITION,'{"0": {"position": 1299, "speed": 8000}}',""
2.74,POSITION,'{"0": {"position": 1347, "speed": 8000}}',""
2.75,POSITION,'{"0": {"position": 1375, "speed": 8000}}',""
2.77,POSITION,'{"0": {"position": 1533, "speed": 8000}}',""
2.78,POSITION,'{"0": {"position": 1565, "speed": 8000}}',""
2.79,POSITION,'{"0": {"position": 1589, "speed": 8000}}',""
2.8,POSITION,'{"0": {"position": 1760, "speed": 8000}}',""
2.81,POSITION,'{"0": {"position": 1766, "speed": 8000}}',""
2.83,POSITION,'{"0": {"position": 1787, "speed": 8000}}',""
2.84,POSITION,'{"0": {"position": 1803, "speed": 8000}}',""
2.85,POSITION,'{"0": {"position": 1823, "speed": 8000}}',""
2.87,POSITION,'{"0": {"position": 1873, "speed": 8000}}',""
2.88,POSITION,'{"0": {"position": 1923, "speed": 8000}}',""
2.89,POSITION,'{"0": {"position": 2065, "speed": 8000}}',""
2.9,POSITION,'{"0": {"position": 2072, "speed": 8000}}',""
2.92,POSITION,'{"0": {"position": 2079, "speed": 8000}}',""
2.93,POSITION,'{"0": {"position": 2093, "speed": 8000}}',""
2.94,POSITION,'{"0": {"position": 2100, "speed": 8000}}',""
2.95,POSITION,'{"0": {"position": 2114, "speed": 8000}}',""
2.97,POSITION,'{"0": {"position": 2133, "speed": 8000}}',""
2.98,POSITION,'{"0": {"position": 2143, "speed": 8000}}',""
2.99,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
4.2,POSITION,'{"0": {"position": 2117, "speed": 8000}}',""
4.21,POSITION,'{"0": {"position": 1900, "speed": 8000}}',""
4.22,POSITION,'{"0": {"position": 1618, "speed": 8000}}',""
4.23,POSITION,'{"0": {"position": 1593, "speed": 8000}}',""
4.25,POSITION,'{"0": {"position": 1397, "speed": 8000}}',""
4.26,POSITION,'{"0": {"position": 1349, "speed": 8000}}',""
4.27,POSITION,'{"0": {"position": 1329, "speed": 8000}}',""
4.28,POSITION,'{"0": {"position": 1313, "speed": 8000}}',""
4.3,POSITION,'{"0": {"position": 1324, "speed": 8000}}',""
4.31,POSITION,'{"0": {"position": 1521, "speed": 8000}}',""
4.32,POSITION,'{"0": {"position": 1733, "speed": 8000}}',""
4.33,POSITION,'{"0": {"position": 1751, "speed": 8000}}',""
4.35,POSITION,'{"0": {"position": 1917, "speed": 8000}}',""
4.36,POSITION,'{"0": {"position": 1935, "speed": 8000}}',""
4.37,POSITION,'{"0": {"position": 1975, "speed": 8000}}',""
4.38,POSITION,'{"0": {"position": 1992, "speed": 8000}}',""
4.4,POSITION,'{"0": {"position": 2013, "speed": 8000}}',""
4.42,POSITION,'{"0": {"position": 2005, "speed": 8000}}',""
4.44,POSITION,'{"0": {"position": 1995, "speed": 8000}}',""
4.45,POSITION,'{"0": {"position": 1953, "speed": 8000}}',""
4.46,POSITION,'{"0": {"position": 1929, "speed": 8000}}',""
4.47,POSITION,'{"0": {"position": 1879, "speed": 8000}}',""
4.48,POSITION,'{"0": {"position": 1857, "speed": 8000}}',""
4.5,POSITION,'{"0": {"position": 1823, "speed": 8000}}',""
4.51,POSITION,'{"0": {"position": 1811, "speed": 8000}}',""
4.52,POSITION,'{"0": {"position": 1800, "speed": 8000}}',""
4.55,POSITION,'{"0": {"position": 1818, "speed": 8000}}',""
4.56,POSITION,'{"0": {"position": 1834, "speed": 8000}}',""
4.57,POSITION,'{"0": {"position": 1884, "speed": 8000}}',""
4.58,POSITION,'{"0": {"position": 2045, "speed": 8000}}',""
4.6,POSITION,'{"0": {"position": 2059, "speed": 8000}}',""
4.61,POSITION,'{"0": {"position": 2095, "speed": 8000}}',""
4.62,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
4.68,POSITION,'{"0": {"position": 2169, "speed": 8000}}',""
4.7,POSITION,'{"0": {"position": 2156, "speed": 8000}}',""
4.71,POSITION,'{"0": {"position": 1944, "speed": 8000}}',""
4.72,POSITION,'{"0": {"position": 1772, "speed": 8000}}',""
4.74,POSITION,'{"0": {"position": 1756, "speed": 8000}}',""
4.75,POSITION,'{"0": {"position": 1574, "speed": 8000}}',""
4.76,POSITION,'{"0": {"position": 1565, "speed": 8000}}',""
4.77,POSITION,'{"0": {"position": 1537, "speed": 8000}}',""
4.79,POSITION,'{"0": {"position": 1507, "speed": 8000}}',""
4.8,POSITION,'{"0": {"position": 1495, "speed": 8000}}',""
4.81,POSITION,'{"0": {"position": 1485, "speed": 8000}}',""
4.83,POSITION,'{"0": {"position": 1489, "speed": 8000}}',""
4.84,POSITION,'{"0": {"position": 1514, "speed": 8000}}',""
4.85,POSITION,'{"0": {"position": 1713, "speed": 8000}}',""
4.86,POSITION,'{"0": {"position": 1728, "speed": 8000}}',""
4.88,POSITION,'{"0": {"position": 1900, "speed": 8000}}',""
4.89,POSITION,'{"0": {"position": 1907, "speed": 8000}}',""
4.9,POSITION,'{"0": {"position": 1916, "speed": 8000}}',""
4.92,POSITION,'{"0": {"position": 1901, "speed": 8000}}',""
4.94,POSITION,'{"0": {"position": 1732, "speed": 8000}}',""
4.95,POSITION,'{"0": {"position": 1715, "speed": 8000}}',""
4.96,POSITION,'{"0": {"position": 1522, "speed": 8000}}',""
4.97,POSITION,'{"0": {"position": 1509, "speed": 8000}}',""
4.98,POSITION,'{"0": {"position": 1470, "speed": 8000}}',""
5.0,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
5.01,POSITION,'{"0": {"position": 1405, "speed": 8000}}',""
5.02,POSITION,'{"0": {"position": 1385, "speed": 8000}}',""
5.04,POSITION,'{"0": {"position": 1389, "speed": 8000}}',""
5.05,POSITION,'{"0": {"position": 1422, "speed": 8000}}',""
5.06,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
5.07,POSITION,'{"0": {"position": 1637, "speed": 8000}}',""
5.09,POSITION,'{"0": {"position": 1799, "speed": 8000}}',""
5.1,POSITION,'{"0": {"position": 1819, "speed": 8000}}',""
5.11,POSITION,'{"0": {"position": 1861, "speed": 8000}}',""
5.12,POSITION,'{"0": {"position": 1877, "speed": 8000}}',""
5.14,POSITION,'{"0": {"position": 1888, "speed": 8000}}',""
5.15,POSITION,'{"0": {"position": 1883, "speed": 8000}}',""
5.16,POSITION,'{"0": {"position": 1868, "speed": 8000}}',""
5.18,POSITION,'{"0": {"position": 1821, "speed": 8000}}',""
5.19,POSITION,'{"0": {"position": 1568, "speed": 8000}}',""
5.2,POSITION,'{"0": {"position": 1388, "speed": 8000}}',""
5.21,POSITION,'{"0": {"position": 1141, "speed": 8000}}',""
5.23,POSITION,'{"0": {"position": 1114, "speed": 8000}}',""
5.24,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
5.31,POSITION,'{"0": {"position": 817, "speed": 8000}}',""
5.32,POSITION,'{"0": {"position": 991, "speed": 8000}}',""
5.34,POSITION,'{"0": {"position": 1263, "speed": 8000}}',""
5.35,POSITION,'{"0": {"position": 1459, "speed": 8000}}',""
5.36,POSITION,'{"0": {"position": 1497, "speed": 8000}}',""
5.38,POSITION,'{"0": {"position": 1646, "speed": 8000}}',""
5.39,POSITION,'{"0": {"position": 1686, "speed": 8000}}',""
5.4,POSITION,'{"0": {"position": 1847, "speed": 8000}}',""
5.41,POSITION,'{"0": {"position": 2012, "speed": 8000}}',""
5.43,POSITION,'{"0": {"position": 2032, "speed": 8000}}',""
5.44,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
