time,instruction,arg_1,arg_2
0.67,POSITION,'{"0": {"position": 2186, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 2165, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1997, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1969, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1784, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1765, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1586, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1578, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1567, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1543, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1530, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1560, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1726, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1764, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1816, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1833, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1830, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1809, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1619, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1448, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1444, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1429, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1423, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1414, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1411, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1413, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1427, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1441, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1480, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1649, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1680, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1702, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1756, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1905, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1932, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1979, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 2005, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 2058, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 2084, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.68,POSITION,'{"0": {"position": 2181, "speed": 8000}}',""
1.69,POSITION,'{"0": {"position": 2162, "speed": 8000}}',""
1.7,POSITION,'{"0": {"position": 1945, "speed": 8000}}',""
1.71,POSITION,'{"0": {"position": 1732, "speed": 8000}}',""
1.73,POSITION,'{"0": {"position": 1548, "speed": 8000}}',""
1.74,POSITION,'{"0": {"position": 1541, "speed": 8000}}',""
1.75,POSITION,'{"0": {"position": 1530, "speed": 8000}}',""
1.76,POSITION,'{"0": {"position": 1513, "speed": 8000}}',""
1.79,POSITION,'{"0": {"position": 1521, "speed": 8000}}',""
