time,instruction,arg_1,arg_2
0.05,POSITION,'{"12": {"position": 1074, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1655, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1079, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1644, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1081, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1642, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1084, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1090, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1095, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1106, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1111, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1640, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1120, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1125, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1637, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1135, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1145, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1151, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1635, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1170, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1633, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1193, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1626, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1213, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1616, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1222, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1612, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1234, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1604, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1241, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1598, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1244, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1595, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1246, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1593, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1249, "speed": 8000}}',""
