time,instruction,arg_1,arg_2
0.41,POSITION,'{"0": {"position": 2158, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 2139, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1963, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1779, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1580, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1557, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 1360, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 1193, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 1160, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1110, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1090, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1080, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1250, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1273, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1476, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1523, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1669, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1644, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1419, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1232, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1008, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 974, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 960, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 971, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1170, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1424, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1595, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1599, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1583, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1439, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1266, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1247, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1075, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1034, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1022, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1041, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1191, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1403, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1568, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1574, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1568, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1546, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1381, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1167, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 991, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 974, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 859, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1018, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1036, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1244, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1256, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1440, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1452, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1643, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1668, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1895, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 2077, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 2108, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
