time,instruction,arg_1,arg_2
0.69,POSITION,'{"0": {"position": 2170, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 2156, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 2113, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 2089, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 2047, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 2018, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 2009, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 2001, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 2011, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 2032, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 2042, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 2068, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 2083, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 2118, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 2134, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
