time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1612, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1197, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1609, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1606, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1199, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1603, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1600, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1202, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1598, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1204, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1596, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1592, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1589, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1586, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1580, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1208, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1574, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1211, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1571, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1562, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1558, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1214, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1550, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1544, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1218, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1540, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1222, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1538, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1224, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1536, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1230, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1534, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1237, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1246, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1249, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1532, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1255, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1258, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1263, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1266, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1268, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1272, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1277, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1537, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1279, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1544, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1284, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1553, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1288, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1559, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1291, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1570, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1296, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1576, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1299, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1587, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1303, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1603, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1308, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1617, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1312, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1624, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1315, "speed": 8000}}',""
