time,instruction,arg_1,arg_2
0.33,POSITION,'{"0": {"position": 2194, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 2182, "speed": 8000}}',""
0.36,POSITION,'{"0": {"position": 2005, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 1990, "speed": 8000}}',""
0.38,POSITION,'{"0": {"position": 1821, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 1636, "speed": 8000}}',""
0.4,POSITION,'{"0": {"position": 1452, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 1443, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1401, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1374, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1327, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1309, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 1285, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 1281, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 1301, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1326, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1490, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1516, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1732, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1890, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1932, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 2084, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 2097, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 2102, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 2089, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1832, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1575, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1554, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1391, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1371, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1328, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1298, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1291, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1293, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1335, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1517, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1711, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1729, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1893, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1905, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1897, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1667, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1848, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 2064, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 2074, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1871, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1691, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1313, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1479, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1499, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1536, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1546, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1532, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1514, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1468, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1813, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 2090, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
