time,instruction,arg_1,arg_2
0.53,POSITION,'{"0": {"position": 2137, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 2121, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1894, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1669, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1430, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1276, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1260, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1229, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1217, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1207, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1232, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1383, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1397, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1610, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1625, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1791, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1788, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1613, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1596, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1412, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1403, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1376, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1355, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1363, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1399, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1426, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1607, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1655, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1680, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1713, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1551, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1520, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1497, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1451, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1418, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1408, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1414, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1448, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1475, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1652, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1817, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1824, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1831, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1840, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1838, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1811, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1789, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1638, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1633, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1626, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1636, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1653, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1833, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1868, "speed": 8000}}',""
