time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1790, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1332, "speed": 8000}}',""
0.01,POSITION,'{"13": {"position": 1335, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1787, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1339, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1783, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1345, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1350, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1777, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1353, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1775, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1355, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1772, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1357, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1768, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1359, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1764, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1761, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1756, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1362, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1751, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1364, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1748, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1367, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1741, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1371, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1735, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1375, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1732, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1377, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1728, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1379, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1722, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1381, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1718, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1712, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1709, "speed": 8000}}',""
