time,instruction,arg_1,arg_2
0.14,POSITION,'{"5": {"position": 826, "speed": 8000}}',""
0.15,POSITION,'{"5": {"position": 846, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 867, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 1035, "speed": 8000}}',""
0.18,POSITION,'{"5": {"position": 1195, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1212, "speed": 8000}}',""
0.21,POSITION,'{"5": {"position": 1375, "speed": 8000}}',""
0.22,POSITION,'{"7": {"position": 1464, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',""
0.22,POSITION,'{"5": {"position": 1390, "speed": 8000}}',""
0.23,POSITION,'{"7": {"position": 1461, "speed": 8000}, "6": {"position": 1610, "speed": 8000}}',""
0.23,POSITION,'{"5": {"position": 1424, "speed": 8000}}',""
0.25,POSITION,'{"5": {"position": 1437, "speed": 8000}}',""
0.26,POSITION,'{"7": {"position": 1459, "speed": 8000}, "6": {"position": 1613, "speed": 8000}}',""
0.26,POSITION,'{"5": {"position": 1456, "speed": 8000}}',""
0.27,POSITION,'{"5": {"position": 1465, "speed": 8000}}',""
0.28,POSITION,'{"5": {"position": 1468, "speed": 8000}}',""
0.3,POSITION,'{"7": {"position": 1457, "speed": 8000}, "6": {"position": 1615, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 1472, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 1475, "speed": 8000}}',""
0.33,POSITION,'{"5": {"position": 1477, "speed": 8000}}',""
0.34,POSITION,'{"7": {"position": 1456, "speed": 8000}, "6": {"position": 1617, "speed": 8000}}',""
0.36,POSITION,'{"5": {"position": 1479, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 1482, "speed": 8000}}',""
0.39,POSITION,'{"5": {"position": 1485, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 1488, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1495, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1498, "speed": 8000}}',""
0.44,POSITION,'{"5": {"position": 1501, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 1506, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1509, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 1507, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1504, "speed": 8000}}',""
0.53,POSITION,'{"5": {"position": 1498, "speed": 8000}}',""
0.55,POSITION,'{"5": {"position": 1495, "speed": 8000}}',""
0.56,POSITION,'{"5": {"position": 1487, "speed": 8000}}',""
0.57,POSITION,'{"5": {"position": 1483, "speed": 8000}}',""
0.58,POSITION,'{"5": {"position": 1471, "speed": 8000}}',""
0.6,POSITION,'{"5": {"position": 1463, "speed": 8000}}',""
0.61,POSITION,'{"5": {"position": 1460, "speed": 8000}}',""
0.62,POSITION,'{"5": {"position": 1455, "speed": 8000}}',""
0.64,POSITION,'{"5": {"position": 1453, "speed": 8000}}',""
0.69,POSITION,'{"5": {"position": 1450, "speed": 8000}}',""
0.7,POSITION,'{"5": {"position": 1441, "speed": 8000}}',""
0.71,POSITION,'{"7": {"position": 1457, "speed": 8000}, "6": {"position": 1615, "speed": 8000}}',""
0.71,POSITION,'{"5": {"position": 1398, "speed": 8000}}',""
0.73,POSITION,'{"7": {"position": 1458, "speed": 8000}, "6": {"position": 1613, "speed": 8000}}',""
0.73,POSITION,'{"5": {"position": 1210, "speed": 8000}}',""
0.74,POSITION,'{"7": {"position": 1461, "speed": 8000}, "6": {"position": 1610, "speed": 8000}}',""
0.74,POSITION,'{"5": {"position": 1012, "speed": 8000}}',""
0.75,POSITION,'{"7": {"position": 1464, "speed": 8000}, "6": {"position": 1606, "speed": 8000}}',""
0.75,POSITION,'{"5": {"position": 828, "speed": 8000}}',""
