time,instruction,arg_1,arg_2
0.4,POSITION,'{"0": {"position": 2181, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 2012, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 1780, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1752, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1529, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1506, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1479, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 1427, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 1393, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 1387, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1399, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1416, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1652, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1850, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1898, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1914, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1894, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1721, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1510, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1477, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1453, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1308, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1320, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1361, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1527, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1719, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1733, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1765, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1772, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1755, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1610, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1569, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1415, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1401, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1365, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1351, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1370, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1580, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1591, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1622, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1602, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1434, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1290, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1118, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 939, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 901, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 837, "speed": 8000}}',""
