time,instruction,arg_1,arg_2
0.97,POSITION,'{"0": {"position": 2125, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1899, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1877, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1645, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1487, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1453, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1413, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1397, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1391, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1405, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1563, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1738, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1754, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1772, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1745, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1595, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1563, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1537, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1490, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1472, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1449, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1459, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1494, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1535, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1550, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 1528, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 1356, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 1198, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 1026, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 1013, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 823, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.56,POSITION,'{"0": {"position": 859, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 1044, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 1064, "speed": 8000}}',""
1.6,POSITION,'{"0": {"position": 1274, "speed": 8000}}',""
1.62,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
1.63,POSITION,'{"0": {"position": 1477, "speed": 8000}}',""
1.64,POSITION,'{"0": {"position": 1498, "speed": 8000}}',""
1.65,POSITION,'{"0": {"position": 1549, "speed": 8000}}',""
1.67,POSITION,'{"0": {"position": 1727, "speed": 8000}}',""
1.68,POSITION,'{"0": {"position": 1763, "speed": 8000}}',""
1.69,POSITION,'{"0": {"position": 1913, "speed": 8000}}',""
1.7,POSITION,'{"0": {"position": 1950, "speed": 8000}}',""
1.71,POSITION,'{"0": {"position": 2104, "speed": 8000}}',""
1.73,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.67,POSITION,'{"0": {"position": 2137, "speed": 8000}}',""
2.68,POSITION,'{"0": {"position": 2116, "speed": 8000}}',""
2.69,POSITION,'{"0": {"position": 1880, "speed": 8000}}',""
2.71,POSITION,'{"0": {"position": 1664, "speed": 8000}}',""
2.72,POSITION,'{"0": {"position": 1505, "speed": 8000}}',""
2.73,POSITION,'{"0": {"position": 1461, "speed": 8000}}',""
2.74,POSITION,'{"0": {"position": 1267, "speed": 8000}}',""
2.76,POSITION,'{"0": {"position": 1229, "speed": 8000}}',""
2.77,POSITION,'{"0": {"position": 1052, "speed": 8000}}',""
2.78,POSITION,'{"0": {"position": 1034, "speed": 8000}}',""
2.8,POSITION,'{"0": {"position": 985, "speed": 8000}}',""
2.81,POSITION,'{"0": {"position": 959, "speed": 8000}}',""
2.82,POSITION,'{"0": {"position": 919, "speed": 8000}}',""
2.84,POSITION,'{"0": {"position": 902, "speed": 8000}}',""
2.85,POSITION,'{"0": {"position": 914, "speed": 8000}}',""
2.86,POSITION,'{"0": {"position": 1180, "speed": 8000}}',""
2.88,POSITION,'{"0": {"position": 1494, "speed": 8000}}',""
2.89,POSITION,'{"0": {"position": 1516, "speed": 8000}}',""
2.9,POSITION,'{"0": {"position": 1730, "speed": 8000}}',""
2.92,POSITION,'{"0": {"position": 1878, "speed": 8000}}',""
2.93,POSITION,'{"0": {"position": 1899, "speed": 8000}}',""
2.95,POSITION,'{"0": {"position": 1914, "speed": 8000}}',""
2.96,POSITION,'{"0": {"position": 1898, "speed": 8000}}',""
2.97,POSITION,'{"0": {"position": 1871, "speed": 8000}}',""
2.99,POSITION,'{"0": {"position": 1648, "speed": 8000}}',""
3.0,POSITION,'{"0": {"position": 1437, "speed": 8000}}',""
3.01,POSITION,'{"0": {"position": 1430, "speed": 8000}}',""
3.03,POSITION,'{"0": {"position": 1404, "speed": 8000}}',""
3.04,POSITION,'{"0": {"position": 1372, "speed": 8000}}',""
3.05,POSITION,'{"0": {"position": 1359, "speed": 8000}}',""
3.06,POSITION,'{"0": {"position": 1346, "speed": 8000}}',""
3.08,POSITION,'{"0": {"position": 1352, "speed": 8000}}',""
3.09,POSITION,'{"0": {"position": 1388, "speed": 8000}}',""
3.11,POSITION,'{"0": {"position": 1439, "speed": 8000}}',""
3.12,POSITION,'{"0": {"position": 1471, "speed": 8000}}',""
3.15,POSITION,'{"0": {"position": 1441, "speed": 8000}}',""
3.16,POSITION,'{"0": {"position": 1252, "speed": 8000}}',""
3.17,POSITION,'{"0": {"position": 1233, "speed": 8000}}',""
3.18,POSITION,'{"0": {"position": 1071, "speed": 8000}}',""
3.2,POSITION,'{"0": {"position": 1022, "speed": 8000}}',""
3.21,POSITION,'{"0": {"position": 996, "speed": 8000}}',""
3.22,POSITION,'{"0": {"position": 950, "speed": 8000}}',""
3.24,POSITION,'{"0": {"position": 934, "speed": 8000}}',""
3.25,POSITION,'{"0": {"position": 923, "speed": 8000}}',""
3.26,POSITION,'{"0": {"position": 960, "speed": 8000}}',""
3.27,POSITION,'{"0": {"position": 1146, "speed": 8000}}',""
3.29,POSITION,'{"0": {"position": 1323, "speed": 8000}}',""
3.3,POSITION,'{"0": {"position": 1343, "speed": 8000}}',""
3.31,POSITION,'{"0": {"position": 1353, "speed": 8000}}',""
3.33,POSITION,'{"0": {"position": 1368, "speed": 8000}}',""
3.34,POSITION,'{"0": {"position": 1378, "speed": 8000}}',""
3.36,POSITION,'{"0": {"position": 1368, "speed": 8000}}',""
3.38,POSITION,'{"0": {"position": 1344, "speed": 8000}}',""
3.39,POSITION,'{"0": {"position": 1145, "speed": 8000}}',""
3.4,POSITION,'{"0": {"position": 980, "speed": 8000}}',""
3.42,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
3.6,POSITION,'{"0": {"position": 886, "speed": 8000}}',""
3.61,POSITION,'{"0": {"position": 1094, "speed": 8000}}',""
3.63,POSITION,'{"0": {"position": 1133, "speed": 8000}}',""
3.64,POSITION,'{"0": {"position": 1274, "speed": 8000}}',""
3.65,POSITION,'{"0": {"position": 1301, "speed": 8000}}',""
3.66,POSITION,'{"0": {"position": 1320, "speed": 8000}}',""
3.68,POSITION,'{"0": {"position": 1370, "speed": 8000}}',""
3.69,POSITION,'{"0": {"position": 1527, "speed": 8000}}',""
