time,instruction,arg_1,arg_2
0.17,POSITION,'{"0": {"position": 2125, "speed": 8000}}',"\"\""
0.19,POSITION,'{"0": {"position": 1899, "speed": 8000}}',"\"\""
0.2,POSITION,'{"0": {"position": 1877, "speed": 8000}}',"\"\""
0.21,POSITION,'{"0": {"position": 1645, "speed": 8000}}',"\"\""
0.22,POSITION,'{"0": {"position": 1487, "speed": 8000}}',"\"\""
0.24,POSITION,'{"0": {"position": 1453, "speed": 8000}}',"\"\""
0.25,POSITION,'{"0": {"position": 1413, "speed": 8000}}',"\"\""
0.26,POSITION,'{"0": {"position": 1397, "speed": 8000}}',"\"\""
0.28,POSITION,'{"0": {"position": 1391, "speed": 8000}}',"\"\""
0.29,POSITION,'{"0": {"position": 1405, "speed": 8000}}',"\"\""
0.3,POSITION,'{"0": {"position": 1563, "speed": 8000}}',"\"\""
0.32,POSITION,'{"0": {"position": 1738, "speed": 8000}}',"\"\""
0.33,POSITION,'{"0": {"position": 1754, "speed": 8000}}',"\"\""
0.34,POSITION,'{"0": {"position": 1772, "speed": 8000}}',"\"\""
0.35,POSITION,'{"0": {"position": 1745, "speed": 8000}}',"\"\""
0.37,POSITION,'{"0": {"position": 1595, "speed": 8000}}',"\"\""
0.38,POSITION,'{"0": {"position": 1563, "speed": 8000}}',"\"\""
0.39,POSITION,'{"0": {"position": 1537, "speed": 8000}}',"\"\""
0.41,POSITION,'{"0": {"position": 1490, "speed": 8000}}',"\"\""
0.42,POSITION,'{"0": {"position": 1472, "speed": 8000}}',"\"\""
0.43,POSITION,'{"0": {"position": 1449, "speed": 8000}}',"\"\""
0.46,POSITION,'{"0": {"position": 1459, "speed": 8000}}',"\"\""
0.47,POSITION,'{"0": {"position": 1494, "speed": 8000}}',"\"\""
0.48,POSITION,'{"0": {"position": 1535, "speed": 8000}}',"\"\""
0.5,POSITION,'{"0": {"position": 1550, "speed": 8000}}',"\"\""
0.52,POSITION,'{"0": {"position": 1528, "speed": 8000}}',"\"\""
0.54,POSITION,'{"0": {"position": 1356, "speed": 8000}}',"\"\""
0.55,POSITION,'{"0": {"position": 1198, "speed": 8000}}',"\"\""
0.56,POSITION,'{"0": {"position": 1026, "speed": 8000}}',"\"\""
0.57,POSITION,'{"0": {"position": 1013, "speed": 8000}}',"\"\""
0.59,POSITION,'{"0": {"position": 823, "speed": 8000}}',"\"\""
0.6,POSITION,'{"0": {"position": 800, "speed": 8000}}',"\"\""
0.76,POSITION,'{"0": {"position": 859, "speed": 8000}}',"\"\""
0.78,POSITION,'{"0": {"position": 1044, "speed": 8000}}',"\"\""
0.79,POSITION,'{"0": {"position": 1064, "speed": 8000}}',"\"\""
0.8,POSITION,'{"0": {"position": 1274, "speed": 8000}}',"\"\""
0.82,POSITION,'{"0": {"position": 1447, "speed": 8000}}',"\"\""
0.83,POSITION,'{"0": {"position": 1477, "speed": 8000}}',"\"\""
0.84,POSITION,'{"0": {"position": 1498, "speed": 8000}}',"\"\""
0.85,POSITION,'{"0": {"position": 1549, "speed": 8000}}',"\"\""
