time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1579, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1402, "speed": 8000}}',""
0.0,POSITION,'{"8": {"position": 2031, "speed": 8000}, "9": {"position": 968, "speed": 8000}, "10": {"position": 968, "speed": 8000}, "11": {"position": 2031, "speed": 8000}}',""
0.01,POSITION,'{"8": {"position": 2035, "speed": 8000}, "9": {"position": 964, "speed": 8000}, "10": {"position": 964, "speed": 8000}, "11": {"position": 2035, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1577, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1404, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1572, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1407, "speed": 8000}}',""
0.03,POSITION,'{"8": {"position": 2043, "speed": 8000}, "9": {"position": 956, "speed": 8000}, "10": {"position": 956, "speed": 8000}, "11": {"position": 2043, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1570, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1409, "speed": 8000}}',""
0.04,POSITION,'{"8": {"position": 2046, "speed": 8000}, "9": {"position": 953, "speed": 8000}, "10": {"position": 953, "speed": 8000}, "11": {"position": 2046, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1565, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1413, "speed": 8000}}',""
0.06,POSITION,'{"8": {"position": 2052, "speed": 8000}, "9": {"position": 947, "speed": 8000}, "10": {"position": 947, "speed": 8000}, "11": {"position": 2052, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1562, "speed": 8000}}',""
0.07,POSITION,'{"8": {"position": 2058, "speed": 8000}, "9": {"position": 941, "speed": 8000}, "10": {"position": 941, "speed": 8000}, "11": {"position": 2058, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1556, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1418, "speed": 8000}}',""
0.08,POSITION,'{"8": {"position": 2061, "speed": 8000}, "9": {"position": 938, "speed": 8000}, "10": {"position": 938, "speed": 8000}, "11": {"position": 2061, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1552, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1420, "speed": 8000}}',""
0.09,POSITION,'{"8": {"position": 2065, "speed": 8000}, "9": {"position": 934, "speed": 8000}, "10": {"position": 934, "speed": 8000}, "11": {"position": 2065, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1546, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1424, "speed": 8000}}',""
0.1,POSITION,'{"8": {"position": 2068, "speed": 8000}, "9": {"position": 931, "speed": 8000}, "10": {"position": 931, "speed": 8000}, "11": {"position": 2068, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1539, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1432, "speed": 8000}}',""
0.12,POSITION,'{"8": {"position": 2075, "speed": 8000}, "9": {"position": 924, "speed": 8000}, "10": {"position": 924, "speed": 8000}, "11": {"position": 2075, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1535, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1436, "speed": 8000}}',""
0.13,POSITION,'{"8": {"position": 2084, "speed": 8000}, "9": {"position": 915, "speed": 8000}, "10": {"position": 915, "speed": 8000}, "11": {"position": 2084, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1529, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1443, "speed": 8000}}',""
0.14,POSITION,'{"8": {"position": 2088, "speed": 8000}, "9": {"position": 911, "speed": 8000}, "10": {"position": 911, "speed": 8000}, "11": {"position": 2088, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1527, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1446, "speed": 8000}}',""
0.16,POSITION,'{"8": {"position": 2097, "speed": 8000}, "9": {"position": 902, "speed": 8000}, "10": {"position": 902, "speed": 8000}, "11": {"position": 2097, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1523, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1452, "speed": 8000}}',""
0.17,POSITION,'{"0": {"position": 2125, "speed": 8000}}',""
0.17,POSITION,'{"8": {"position": 2106, "speed": 8000}, "9": {"position": 893, "speed": 8000}, "10": {"position": 893, "speed": 8000}, "11": {"position": 2106, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1520, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1458, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1518, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1461, "speed": 8000}}',""
0.2,POSITION,'{"8": {"position": 2110, "speed": 8000}, "9": {"position": 889, "speed": 8000}, "10": {"position": 889, "speed": 8000}, "11": {"position": 2110, "speed": 8000}}',""
0.2,POSITION,'{"0": {"position": 1899, "speed": 8000}}',""
0.2,POSITION,'{"8": {"position": 2117, "speed": 8000}, "9": {"position": 882, "speed": 8000}, "10": {"position": 882, "speed": 8000}, "11": {"position": 2117, "speed": 8000}}',""
0.2,POSITION,'{"0": {"position": 1877, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1516, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1466, "speed": 8000}}',""
0.21,POSITION,'{"8": {"position": 2122, "speed": 8000}, "9": {"position": 877, "speed": 8000}, "10": {"position": 877, "speed": 8000}, "11": {"position": 2122, "speed": 8000}}',""
0.21,POSITION,'{"0": {"position": 1645, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1468, "speed": 8000}}',""
0.22,POSITION,'{"0": {"position": 1487, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1514, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1472, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1510, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1474, "speed": 8000}}',""
0.25,POSITION,'{"8": {"position": 2126, "speed": 8000}, "9": {"position": 873, "speed": 8000}, "10": {"position": 873, "speed": 8000}, "11": {"position": 2126, "speed": 8000}}',""
0.25,POSITION,'{"0": {"position": 1453, "speed": 8000}}',""
0.25,POSITION,'{"8": {"position": 2130, "speed": 8000}, "9": {"position": 869, "speed": 8000}, "10": {"position": 869, "speed": 8000}, "11": {"position": 2130, "speed": 8000}}',""
0.25,POSITION,'{"0": {"position": 1413, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1505, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1480, "speed": 8000}}',""
0.26,POSITION,'{"0": {"position": 1397, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1503, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1482, "speed": 8000}}',""
0.27,POSITION,'{"8": {"position": 2135, "speed": 8000}, "9": {"position": 864, "speed": 8000}, "10": {"position": 864, "speed": 8000}, "11": {"position": 2135, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1498, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1488, "speed": 8000}}',""
0.28,POSITION,'{"0": {"position": 1391, "speed": 8000}}',""
0.29,POSITION,'{"8": {"position": 2141, "speed": 8000}, "9": {"position": 858, "speed": 8000}, "10": {"position": 858, "speed": 8000}, "11": {"position": 2141, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 1405, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1495, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1495, "speed": 8000}}',""
0.3,POSITION,'{"8": {"position": 2143, "speed": 8000}, "9": {"position": 856, "speed": 8000}, "10": {"position": 856, "speed": 8000}, "11": {"position": 2143, "speed": 8000}}',""
0.3,POSITION,'{"0": {"position": 1563, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1493, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1499, "speed": 8000}}',""
0.31,POSITION,'{"8": {"position": 2148, "speed": 8000}, "9": {"position": 851, "speed": 8000}, "10": {"position": 851, "speed": 8000}, "11": {"position": 2148, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1489, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1508, "speed": 8000}}',""
0.32,POSITION,'{"8": {"position": 2150, "speed": 8000}, "9": {"position": 849, "speed": 8000}, "10": {"position": 849, "speed": 8000}, "11": {"position": 2150, "speed": 8000}}',""
0.32,POSITION,'{"0": {"position": 1738, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1487, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1514, "speed": 8000}}',""
0.34,POSITION,'{"8": {"position": 2157, "speed": 8000}, "9": {"position": 842, "speed": 8000}, "10": {"position": 842, "speed": 8000}, "11": {"position": 2157, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 1754, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 1772, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1481, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1527, "speed": 8000}}',""
0.35,POSITION,'{"8": {"position": 2161, "speed": 8000}, "9": {"position": 838, "speed": 8000}, "10": {"position": 838, "speed": 8000}, "11": {"position": 2161, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 1745, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1477, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1532, "speed": 8000}}',""
0.36,POSITION,'{"8": {"position": 2171, "speed": 8000}, "9": {"position": 828, "speed": 8000}, "10": {"position": 828, "speed": 8000}, "11": {"position": 2171, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1467, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1539, "speed": 8000}}',""
0.37,POSITION,'{"8": {"position": 2176, "speed": 8000}, "9": {"position": 823, "speed": 8000}, "10": {"position": 823, "speed": 8000}, "11": {"position": 2176, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 1595, "speed": 8000}}',""
0.38,POSITION,'{"8": {"position": 2200, "speed": 8000}, "9": {"position": 800, "speed": 8000}, "10": {"position": 800, "speed": 8000}, "11": {"position": 2200, "speed": 8000}}',""
0.38,POSITION,'{"0": {"position": 1563, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1458, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1544, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 1537, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1453, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1546, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1445, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1550, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 1490, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1442, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1552, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1472, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1449, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1435, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1557, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1430, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1562, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1427, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1565, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1459, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1494, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1420, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1570, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 1535, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1416, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1573, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1407, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1578, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 1550, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1399, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1583, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1528, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1396, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1585, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1393, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1588, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1356, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1389, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1592, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1198, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1026, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1387, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1597, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1013, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1384, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1599, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1381, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1606, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 823, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1379, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1610, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1376, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1618, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1370, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1625, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1366, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1628, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 1359, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1631, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1353, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1634, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1350, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1636, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 1346, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 1642, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1341, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1647, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1339, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1335, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 1650, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1332, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1652, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1649, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 859, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1330, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1642, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1044, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1637, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1064, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1630, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1274, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 1339, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 1618, "speed": 8000}}',""
0.82,POSITION,'{"12": {"position": 1345, "speed": 8000}}',""
0.82,POSITION,'{"13": {"position": 1612, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1477, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 1355, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1596, "speed": 8000}}',""
0.84,POSITION,'{"8": {"position": 2159, "speed": 8000}, "9": {"position": 840, "speed": 8000}, "10": {"position": 840, "speed": 8000}, "11": {"position": 2159, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1498, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 1359, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1587, "speed": 8000}}',""
0.85,POSITION,'{"8": {"position": 2144, "speed": 8000}, "9": {"position": 855, "speed": 8000}, "10": {"position": 855, "speed": 8000}, "11": {"position": 2144, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1549, "speed": 8000}}',""
0.86,POSITION,'{"12": {"position": 1365, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 1574, "speed": 8000}}',""
0.86,POSITION,'{"8": {"position": 1955, "speed": 8000}, "9": {"position": 1044, "speed": 8000}, "10": {"position": 1044, "speed": 8000}, "11": {"position": 1955, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1367, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1558, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1727, "speed": 8000}}',""
0.88,POSITION,'{"8": {"position": 1939, "speed": 8000}, "9": {"position": 1060, "speed": 8000}, "10": {"position": 1060, "speed": 8000}, "11": {"position": 1939, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1763, "speed": 8000}}',""
0.89,POSITION,'{"12": {"position": 1371, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 1549, "speed": 8000}}',""
0.89,POSITION,'{"8": {"position": 1759, "speed": 8000}, "9": {"position": 1240, "speed": 8000}, "10": {"position": 1240, "speed": 8000}, "11": {"position": 1759, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1913, "speed": 8000}}',""
0.9,POSITION,'{"12": {"position": 1375, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 1531, "speed": 8000}}',""
0.9,POSITION,'{"8": {"position": 1573, "speed": 8000}, "9": {"position": 1426, "speed": 8000}, "10": {"position": 1426, "speed": 8000}, "11": {"position": 1573, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1950, "speed": 8000}}',""
0.91,POSITION,'{"12": {"position": 1377, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 1522, "speed": 8000}}',""
0.91,POSITION,'{"8": {"position": 1533, "speed": 8000}, "9": {"position": 1466, "speed": 8000}, "10": {"position": 1466, "speed": 8000}, "11": {"position": 1533, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 2104, "speed": 8000}}',""
0.92,POSITION,'{"8": {"position": 1505, "speed": 8000}, "9": {"position": 1494, "speed": 8000}, "10": {"position": 1494, "speed": 8000}, "11": {"position": 1505, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 1384, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 1507, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.94,POSITION,'{"8": {"position": 1479, "speed": 8000}, "9": {"position": 1520, "speed": 8000}, "10": {"position": 1520, "speed": 8000}, "11": {"position": 1479, "speed": 8000}}',""
0.94,POSITION,'{"12": {"position": 1393, "speed": 8000}}',""
0.94,POSITION,'{"13": {"position": 1495, "speed": 8000}}',""
0.95,POSITION,'{"12": {"position": 1404, "speed": 8000}}',""
0.95,POSITION,'{"13": {"position": 1485, "speed": 8000}}',""
0.95,POSITION,'{"8": {"position": 1427, "speed": 8000}, "9": {"position": 1572, "speed": 8000}, "10": {"position": 1572, "speed": 8000}, "11": {"position": 1427, "speed": 8000}}',""
0.96,POSITION,'{"8": {"position": 1400, "speed": 8000}, "9": {"position": 1599, "speed": 8000}, "10": {"position": 1599, "speed": 8000}, "11": {"position": 1400, "speed": 8000}}',""
0.96,POSITION,'{"12": {"position": 1410, "speed": 8000}}',""
0.96,POSITION,'{"13": {"position": 1479, "speed": 8000}}',""
0.97,POSITION,'{"8": {"position": 1350, "speed": 8000}, "9": {"position": 1649, "speed": 8000}, "10": {"position": 1649, "speed": 8000}, "11": {"position": 1350, "speed": 8000}}',""
0.98,POSITION,'{"12": {"position": 1421, "speed": 8000}}',""
0.98,POSITION,'{"13": {"position": 1465, "speed": 8000}}',""
0.99,POSITION,'{"12": {"position": 1426, "speed": 8000}}',""
0.99,POSITION,'{"13": {"position": 1457, "speed": 8000}}',""
0.99,POSITION,'{"8": {"position": 1310, "speed": 8000}, "9": {"position": 1689, "speed": 8000}, "10": {"position": 1689, "speed": 8000}, "11": {"position": 1310, "speed": 8000}}',""
1.0,POSITION,'{"12": {"position": 1436, "speed": 8000}}',""
1.0,POSITION,'{"13": {"position": 1444, "speed": 8000}}',""
1.0,POSITION,'{"8": {"position": 1293, "speed": 8000}, "9": {"position": 1706, "speed": 8000}, "10": {"position": 1706, "speed": 8000}, "11": {"position": 1293, "speed": 8000}}',""
1.01,POSITION,'{"8": {"position": 1269, "speed": 8000}, "9": {"position": 1730, "speed": 8000}, "10": {"position": 1730, "speed": 8000}, "11": {"position": 1269, "speed": 8000}}',""
1.01,POSITION,'{"12": {"position": 1440, "speed": 8000}}',""
1.01,POSITION,'{"13": {"position": 1438, "speed": 8000}}',""
1.02,POSITION,'{"8": {"position": 1264, "speed": 8000}, "9": {"position": 1735, "speed": 8000}, "10": {"position": 1735, "speed": 8000}, "11": {"position": 1264, "speed": 8000}}',""
1.03,POSITION,'{"12": {"position": 1451, "speed": 8000}}',""
1.03,POSITION,'{"13": {"position": 1426, "speed": 8000}}',""
1.04,POSITION,'{"12": {"position": 1459, "speed": 8000}}',""
1.04,POSITION,'{"13": {"position": 1420, "speed": 8000}}',""
1.04,POSITION,'{"8": {"position": 1277, "speed": 8000}, "9": {"position": 1722, "speed": 8000}, "10": {"position": 1722, "speed": 8000}, "11": {"position": 1277, "speed": 8000}}',""
1.05,POSITION,'{"12": {"position": 1478, "speed": 8000}}',""
1.05,POSITION,'{"13": {"position": 1408, "speed": 8000}}',""
1.06,POSITION,'{"8": {"position": 1298, "speed": 8000}, "9": {"position": 1701, "speed": 8000}, "10": {"position": 1701, "speed": 8000}, "11": {"position": 1298, "speed": 8000}}',""
1.06,POSITION,'{"8": {"position": 1512, "speed": 8000}, "9": {"position": 1487, "speed": 8000}, "10": {"position": 1487, "speed": 8000}, "11": {"position": 1512, "speed": 8000}}',""
1.07,POSITION,'{"12": {"position": 1486, "speed": 8000}}',""
1.07,POSITION,'{"13": {"position": 1402, "speed": 8000}}',""
1.07,POSITION,'{"8": {"position": 1523, "speed": 8000}, "9": {"position": 1476, "speed": 8000}, "10": {"position": 1476, "speed": 8000}, "11": {"position": 1523, "speed": 8000}}',""
1.08,POSITION,'{"12": {"position": 1501, "speed": 8000}}',""
1.08,POSITION,'{"13": {"position": 1390, "speed": 8000}}',""
1.08,POSITION,'{"8": {"position": 1685, "speed": 8000}, "9": {"position": 1314, "speed": 8000}, "10": {"position": 1314, "speed": 8000}, "11": {"position": 1685, "speed": 8000}}',""
1.09,POSITION,'{"12": {"position": 1507, "speed": 8000}}',""
1.09,POSITION,'{"13": {"position": 1385, "speed": 8000}}',""
1.1,POSITION,'{"12": {"position": 1516, "speed": 8000}}',""
1.1,POSITION,'{"13": {"position": 1377, "speed": 8000}}',""
1.1,POSITION,'{"8": {"position": 1698, "speed": 8000}, "9": {"position": 1301, "speed": 8000}, "10": {"position": 1301, "speed": 8000}, "11": {"position": 1698, "speed": 8000}}',""
1.12,POSITION,'{"12": {"position": 1519, "speed": 8000}}',""
1.12,POSITION,'{"13": {"position": 1374, "speed": 8000}}',""
1.12,POSITION,'{"8": {"position": 1746, "speed": 8000}, "9": {"position": 1253, "speed": 8000}, "10": {"position": 1253, "speed": 8000}, "11": {"position": 1746, "speed": 8000}}',""
1.12,POSITION,'{"8": {"position": 1773, "speed": 8000}, "9": {"position": 1226, "speed": 8000}, "10": {"position": 1226, "speed": 8000}, "11": {"position": 1773, "speed": 8000}}',""
1.13,POSITION,'{"12": {"position": 1524, "speed": 8000}}',""
1.13,POSITION,'{"13": {"position": 1365, "speed": 8000}}',""
1.13,POSITION,'{"8": {"position": 1924, "speed": 8000}, "9": {"position": 1075, "speed": 8000}, "10": {"position": 1075, "speed": 8000}, "11": {"position": 1924, "speed": 8000}}',""
1.14,POSITION,'{"12": {"position": 1529, "speed": 8000}}',""
1.14,POSITION,'{"13": {"position": 1354, "speed": 8000}}',""
1.14,POSITION,'{"8": {"position": 1932, "speed": 8000}, "9": {"position": 1067, "speed": 8000}, "10": {"position": 1067, "speed": 8000}, "11": {"position": 1932, "speed": 8000}}',""
1.15,POSITION,'{"12": {"position": 1531, "speed": 8000}}',""
1.15,POSITION,'{"13": {"position": 1348, "speed": 8000}}',""
1.16,POSITION,'{"8": {"position": 1946, "speed": 8000}, "9": {"position": 1053, "speed": 8000}, "10": {"position": 1053, "speed": 8000}, "11": {"position": 1946, "speed": 8000}}',""
1.17,POSITION,'{"12": {"position": 1539, "speed": 8000}}',""
1.17,POSITION,'{"13": {"position": 1335, "speed": 8000}}',""
1.17,POSITION,'{"8": {"position": 1950, "speed": 8000}, "9": {"position": 1049, "speed": 8000}, "10": {"position": 1049, "speed": 8000}, "11": {"position": 1950, "speed": 8000}}',""
1.18,POSITION,'{"12": {"position": 1543, "speed": 8000}}',""
1.18,POSITION,'{"13": {"position": 1328, "speed": 8000}}',""
1.18,POSITION,'{"8": {"position": 1957, "speed": 8000}, "9": {"position": 1042, "speed": 8000}, "10": {"position": 1042, "speed": 8000}, "11": {"position": 1957, "speed": 8000}}',""
1.19,POSITION,'{"12": {"position": 1553, "speed": 8000}}',""
1.19,POSITION,'{"13": {"position": 1314, "speed": 8000}}',""
1.19,POSITION,'{"8": {"position": 1960, "speed": 8000}, "9": {"position": 1039, "speed": 8000}, "10": {"position": 1039, "speed": 8000}, "11": {"position": 1960, "speed": 8000}}',""
1.2,POSITION,'{"12": {"position": 1557, "speed": 8000}}',""
1.2,POSITION,'{"13": {"position": 1308, "speed": 8000}}',""
1.2,POSITION,'{"8": {"position": 1963, "speed": 8000}, "9": {"position": 1036, "speed": 8000}, "10": {"position": 1036, "speed": 8000}, "11": {"position": 1963, "speed": 8000}}',""
1.22,POSITION,'{"12": {"position": 1564, "speed": 8000}}',""
1.22,POSITION,'{"13": {"position": 1295, "speed": 8000}}',""
1.22,POSITION,'{"8": {"position": 1971, "speed": 8000}, "9": {"position": 1028, "speed": 8000}, "10": {"position": 1028, "speed": 8000}, "11": {"position": 1971, "speed": 8000}}',""
1.23,POSITION,'{"12": {"position": 1571, "speed": 8000}}',""
1.23,POSITION,'{"13": {"position": 1282, "speed": 8000}}',""
1.23,POSITION,'{"8": {"position": 1977, "speed": 8000}, "9": {"position": 1022, "speed": 8000}, "10": {"position": 1022, "speed": 8000}, "11": {"position": 1977, "speed": 8000}}',""
