time,instruction,arg_1,arg_2
0.88,POSITION,'{"0": {"position": 2143, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 2110, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1967, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1954, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1918, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1903, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1880, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1870, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1875, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1894, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1907, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1941, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1988, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 2010, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 2051, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 2070, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 2106, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.66,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
1.67,POSITION,'{"0": {"position": 2188, "speed": 8000}}',""
1.68,POSITION,'{"0": {"position": 2185, "speed": 8000}}',""
1.69,POSITION,'{"0": {"position": 2175, "speed": 8000}}',""
1.71,POSITION,'{"0": {"position": 2169, "speed": 8000}}',""
1.72,POSITION,'{"0": {"position": 2156, "speed": 8000}}',""
1.73,POSITION,'{"0": {"position": 2144, "speed": 8000}}',""
1.74,POSITION,'{"0": {"position": 2140, "speed": 8000}}',""
1.76,POSITION,'{"0": {"position": 2132, "speed": 8000}}',""
1.77,POSITION,'{"0": {"position": 2129, "speed": 8000}}',""
1.78,POSITION,'{"0": {"position": 2124, "speed": 8000}}',""
1.79,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
1.81,POSITION,'{"0": {"position": 2120, "speed": 8000}}',""
1.86,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
1.89,POSITION,'{"0": {"position": 2126, "speed": 8000}}',""
1.9,POSITION,'{"0": {"position": 2128, "speed": 8000}}',""
1.91,POSITION,'{"0": {"position": 2131, "speed": 8000}}',""
1.93,POSITION,'{"0": {"position": 2135, "speed": 8000}}',""
1.94,POSITION,'{"0": {"position": 2137, "speed": 8000}}',""
1.95,POSITION,'{"0": {"position": 2140, "speed": 8000}}',""
1.96,POSITION,'{"0": {"position": 2146, "speed": 8000}}',""
1.97,POSITION,'{"0": {"position": 2150, "speed": 8000}}',""
1.99,POSITION,'{"0": {"position": 2157, "speed": 8000}}',""
2.0,POSITION,'{"0": {"position": 2160, "speed": 8000}}',""
2.01,POSITION,'{"0": {"position": 2166, "speed": 8000}}',""
2.02,POSITION,'{"0": {"position": 2170, "speed": 8000}}',""
2.04,POSITION,'{"0": {"position": 2177, "speed": 8000}}',""
2.05,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.52,POSITION,'{"0": {"position": 2186, "speed": 8000}}',""
2.53,POSITION,'{"0": {"position": 2164, "speed": 8000}}',""
2.54,POSITION,'{"0": {"position": 2146, "speed": 8000}}',""
2.55,POSITION,'{"0": {"position": 2093, "speed": 8000}}',""
2.57,POSITION,'{"0": {"position": 2067, "speed": 8000}}',""
2.58,POSITION,'{"0": {"position": 2022, "speed": 8000}}',""
2.59,POSITION,'{"0": {"position": 1983, "speed": 8000}}',""
