time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1137, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1773, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1135, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1755, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1133, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1743, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1136, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1711, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1151, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1676, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1163, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1660, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1186, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1629, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1207, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1603, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1216, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1592, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1235, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1574, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1262, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1556, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1281, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1547, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1300, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1537, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1335, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1520, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1355, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1512, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1391, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1499, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1416, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1488, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1425, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1481, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1439, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1461, "speed": 8000}}',""
