time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 800, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 2052, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 2047, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 2033, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 2019, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 2014, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 2004, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1995, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1973, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1960, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1936, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1924, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1904, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1888, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1880, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1873, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1859, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1852, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1840, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1834, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1825, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1821, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1814, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1809, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1795, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1789, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1776, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1771, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1761, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1756, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 808, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1747, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 810, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1743, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 812, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1739, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 816, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1737, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 820, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1733, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 823, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1726, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 833, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1709, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 846, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1695, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 892, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1658, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1084, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1611, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1226, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1467, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1272, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1437, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1466, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1264, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1647, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1216, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1659, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1058, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 1708, "speed": 8000}}',""
