time,instruction,arg_1,arg_2
0.0,POSITION,'{"0": {"position": 1990, "speed": 8000}}',""
0.01,POSITION,'{"0": {"position": 1787, "speed": 8000}}',""
0.03,POSITION,'{"0": {"position": 1579, "speed": 8000}}',""
0.04,POSITION,'{"0": {"position": 1567, "speed": 8000}}',""
0.06,POSITION,'{"0": {"position": 1543, "speed": 8000}}',""
0.07,POSITION,'{"0": {"position": 1332, "speed": 8000}}',""
0.08,POSITION,'{"0": {"position": 1293, "speed": 8000}}',""
0.1,POSITION,'{"0": {"position": 1144, "speed": 8000}}',""
0.11,POSITION,'{"0": {"position": 1104, "speed": 8000}}',""
0.12,POSITION,'{"0": {"position": 929, "speed": 8000}}',""
0.13,POSITION,'{"0": {"position": 914, "speed": 8000}}',""
0.15,POSITION,'{"0": {"position": 886, "speed": 8000}}',""
0.16,POSITION,'{"0": {"position": 868, "speed": 8000}}',""
0.17,POSITION,'{"0": {"position": 866, "speed": 8000}}',""
0.19,POSITION,'{"0": {"position": 884, "speed": 8000}}',""
0.2,POSITION,'{"0": {"position": 906, "speed": 8000}}',""
0.21,POSITION,'{"0": {"position": 1092, "speed": 8000}}',""
0.22,POSITION,'{"0": {"position": 1293, "speed": 8000}}',""
0.24,POSITION,'{"0": {"position": 1502, "speed": 8000}}',""
0.25,POSITION,'{"0": {"position": 1540, "speed": 8000}}',""
0.26,POSITION,'{"0": {"position": 1708, "speed": 8000}}',""
0.28,POSITION,'{"0": {"position": 1733, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 1767, "speed": 8000}}',""
0.3,POSITION,'{"0": {"position": 1787, "speed": 8000}}',""
0.31,POSITION,'{"0": {"position": 1808, "speed": 8000}}',""
0.33,POSITION,'{"0": {"position": 1858, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 1884, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 1930, "speed": 8000}}',""
0.36,POSITION,'{"0": {"position": 1951, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 1990, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 2004, "speed": 8000}}',""
0.4,POSITION,'{"0": {"position": 2026, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 2044, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 2052, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 2074, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 2086, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 2106, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 2129, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 2143, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 2153, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 2159, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 2169, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 2182, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 2159, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1811, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1787, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1562, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1514, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1491, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1455, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1437, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1439, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1475, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1634, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1648, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1653, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1613, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1424, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1267, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1259, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1245, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1216, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1198, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1207, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1224, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1433, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1466, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1489, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1539, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1594, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1621, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1676, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1703, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1867, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1906, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1930, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 2087, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 2096, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 2118, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 2131, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.73,POSITION,'{"0": {"position": 2196, "speed": 8000}}',""
1.74,POSITION,'{"0": {"position": 2155, "speed": 8000}}',""
1.76,POSITION,'{"0": {"position": 1901, "speed": 8000}}',""
1.77,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
1.78,POSITION,'{"0": {"position": 1586, "speed": 8000}}',""
1.8,POSITION,'{"0": {"position": 1442, "speed": 8000}}',""
1.81,POSITION,'{"0": {"position": 1432, "speed": 8000}}',""
1.82,POSITION,'{"0": {"position": 1427, "speed": 8000}}',""
1.84,POSITION,'{"0": {"position": 1419, "speed": 8000}}',""
1.85,POSITION,'{"0": {"position": 1417, "speed": 8000}}',""
1.86,POSITION,'{"0": {"position": 1424, "speed": 8000}}',""
1.87,POSITION,'{"0": {"position": 1434, "speed": 8000}}',""
1.89,POSITION,'{"0": {"position": 1466, "speed": 8000}}',""
1.9,POSITION,'{"0": {"position": 1508, "speed": 8000}}',""
1.91,POSITION,'{"0": {"position": 1524, "speed": 8000}}',""
1.93,POSITION,'{"0": {"position": 1534, "speed": 8000}}',""
1.94,POSITION,'{"0": {"position": 1508, "speed": 8000}}',""
1.95,POSITION,'{"0": {"position": 1483, "speed": 8000}}',""
1.97,POSITION,'{"0": {"position": 1278, "speed": 8000}}',""
1.98,POSITION,'{"0": {"position": 1108, "speed": 8000}}',""
1.99,POSITION,'{"0": {"position": 1083, "speed": 8000}}',""
2.01,POSITION,'{"0": {"position": 935, "speed": 8000}}',""
2.02,POSITION,'{"0": {"position": 929, "speed": 8000}}',""
2.03,POSITION,'{"0": {"position": 925, "speed": 8000}}',""
2.04,POSITION,'{"0": {"position": 937, "speed": 8000}}',""
2.05,POSITION,'{"0": {"position": 956, "speed": 8000}}',""
2.07,POSITION,'{"0": {"position": 1115, "speed": 8000}}',""
2.08,POSITION,'{"0": {"position": 1141, "speed": 8000}}',""
2.09,POSITION,'{"0": {"position": 1329, "speed": 8000}}',""
2.11,POSITION,'{"0": {"position": 1353, "speed": 8000}}',""
2.12,POSITION,'{"0": {"position": 1502, "speed": 8000}}',""
2.13,POSITION,'{"0": {"position": 1516, "speed": 8000}}',""
2.15,POSITION,'{"0": {"position": 1561, "speed": 8000}}',""
2.16,POSITION,'{"0": {"position": 1725, "speed": 8000}}',""
2.17,POSITION,'{"0": {"position": 1755, "speed": 8000}}',""
2.19,POSITION,'{"0": {"position": 1944, "speed": 8000}}',""
2.2,POSITION,'{"0": {"position": 1952, "speed": 8000}}',""
2.21,POSITION,'{"0": {"position": 1978, "speed": 8000}}',""
2.22,POSITION,'{"0": {"position": 1996, "speed": 8000}}',""
2.24,POSITION,'{"0": {"position": 2027, "speed": 8000}}',""
2.25,POSITION,'{"0": {"position": 2057, "speed": 8000}}',""
2.26,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
2.27,POSITION,'{"0": {"position": 2105, "speed": 8000}}',""
2.28,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
2.3,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
2.44,POSITION,'{"0": {"position": 2175, "speed": 8000}}',""
2.45,POSITION,'{"0": {"position": 2162, "speed": 8000}}',""
2.46,POSITION,'{"0": {"position": 1960, "speed": 8000}}',""
2.48,POSITION,'{"0": {"position": 1790, "speed": 8000}}',""
2.49,POSITION,'{"0": {"position": 1780, "speed": 8000}}',""
2.5,POSITION,'{"0": {"position": 1736, "speed": 8000}}',""
2.51,POSITION,'{"0": {"position": 1710, "speed": 8000}}',""
2.52,POSITION,'{"0": {"position": 1663, "speed": 8000}}',""
2.54,POSITION,'{"0": {"position": 1646, "speed": 8000}}',""
2.55,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
2.56,POSITION,'{"0": {"position": 1655, "speed": 8000}}',""
2.58,POSITION,'{"0": {"position": 1682, "speed": 8000}}',""
2.59,POSITION,'{"0": {"position": 1831, "speed": 8000}}',""
2.6,POSITION,'{"0": {"position": 1829, "speed": 8000}}',""
2.62,POSITION,'{"0": {"position": 1669, "speed": 8000}}',""
2.63,POSITION,'{"0": {"position": 1647, "speed": 8000}}',""
2.64,POSITION,'{"0": {"position": 1439, "speed": 8000}}',""
2.66,POSITION,'{"0": {"position": 1230, "speed": 8000}}',""
2.67,POSITION,'{"0": {"position": 1206, "speed": 8000}}',""
2.68,POSITION,'{"0": {"position": 1153, "speed": 8000}}',""
2.7,POSITION,'{"0": {"position": 1111, "speed": 8000}}',""
2.71,POSITION,'{"0": {"position": 1096, "speed": 8000}}',""
2.72,POSITION,'{"0": {"position": 1085, "speed": 8000}}',""
2.73,POSITION,'{"0": {"position": 1092, "speed": 8000}}',""
2.75,POSITION,'{"0": {"position": 1129, "speed": 8000}}',""
2.76,POSITION,'{"0": {"position": 1176, "speed": 8000}}',""
2.77,POSITION,'{"0": {"position": 1193, "speed": 8000}}',""
2.79,POSITION,'{"0": {"position": 1199, "speed": 8000}}',""
2.8,POSITION,'{"0": {"position": 1159, "speed": 8000}}',""
2.81,POSITION,'{"0": {"position": 990, "speed": 8000}}',""
2.83,POSITION,'{"0": {"position": 958, "speed": 8000}}',""
2.84,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
2.91,POSITION,'{"0": {"position": 828, "speed": 8000}}',""
2.93,POSITION,'{"0": {"position": 853, "speed": 8000}}',""
2.94,POSITION,'{"0": {"position": 1038, "speed": 8000}}',""
2.95,POSITION,'{"0": {"position": 1053, "speed": 8000}}',""
2.97,POSITION,'{"0": {"position": 1249, "speed": 8000}}',""
2.98,POSITION,'{"0": {"position": 1288, "speed": 8000}}',""
2.99,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
3.01,POSITION,'{"0": {"position": 1473, "speed": 8000}}',""
3.02,POSITION,'{"0": {"position": 1653, "speed": 8000}}',""
3.03,POSITION,'{"0": {"position": 1670, "speed": 8000}}',""
3.04,POSITION,'{"0": {"position": 1867, "speed": 8000}}',""
3.05,POSITION,'{"0": {"position": 1884, "speed": 8000}}',""
3.07,POSITION,'{"0": {"position": 2065, "speed": 8000}}',""
3.08,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
3.09,POSITION,'{"0": {"position": 2106, "speed": 8000}}',""
3.1,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
