time,instruction,arg_1,arg_2
0.3,POSITION,'{"0": {"position": 1622, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 1619, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 1622, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 1624, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1626, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1628, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1630, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1632, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1634, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1637, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1639, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1642, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1644, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1642, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1640, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1637, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1633, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1636, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1641, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1645, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1652, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1655, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1659, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1662, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1664, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1666, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1664, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1661, "speed": 8000}}',""
2.49,POSITION,'{"0": {"position": 1659, "speed": 8000}}',""
