time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1254, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1854, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1259, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1847, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1273, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1833, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1288, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1823, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1296, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1816, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1314, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1802, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1332, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1790, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1340, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1783, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1353, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1771, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1363, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1760, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1367, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1755, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1376, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1746, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1386, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1733, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1398, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1720, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1404, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1715, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1417, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1707, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1424, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1704, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1438, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1698, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1450, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1692, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1689, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1465, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1682, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1470, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1677, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1480, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1665, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1492, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1654, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1498, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1649, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1511, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1640, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1523, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1630, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1535, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1622, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1541, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1617, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1551, "speed": 8000}}',""
