time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1413, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1346, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1402, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1318, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1392, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1288, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 1388, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1274, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1377, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1251, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1364, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1234, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1350, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1221, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1337, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1211, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1331, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1207, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1326, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1203, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1317, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1196, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1311, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1194, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1309, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1307, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1196, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1310, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1200, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1325, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1206, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1333, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1210, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1346, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1224, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1351, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1234, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1359, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1254, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1365, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1280, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1368, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1295, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1376, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1320, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1380, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1329, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1388, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1345, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1396, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1360, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1400, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1366, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1405, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1379, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1407, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1385, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1413, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1395, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1420, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1403, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1423, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1405, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1430, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1409, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1435, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1411, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1441, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1413, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1444, "speed": 8000}}',""
