time,instruction,arg_1,arg_2
0.0,POSITION,'{"5": {"position": 1363, "speed": 8000}}',""
0.1,POSITION,'{"7": {"position": 1447, "speed": 8000}, "6": {"position": 1627, "speed": 8000}}',""
0.1,POSITION,'{"5": {"position": 1359, "speed": 8000}}',""
0.11,POSITION,'{"7": {"position": 1449, "speed": 8000}, "6": {"position": 1625, "speed": 8000}}',""
0.11,POSITION,'{"5": {"position": 1353, "speed": 8000}}',""
0.12,POSITION,'{"7": {"position": 1454, "speed": 8000}, "6": {"position": 1619, "speed": 8000}}',""
0.12,POSITION,'{"5": {"position": 1337, "speed": 8000}}',""
0.13,POSITION,'{"7": {"position": 1477, "speed": 8000}, "6": {"position": 1590, "speed": 8000}}',""
0.14,POSITION,'{"5": {"position": 1322, "speed": 8000}}',""
0.15,POSITION,'{"5": {"position": 1314, "speed": 8000}}',""
0.16,POSITION,'{"7": {"position": 1481, "speed": 8000}, "6": {"position": 1586, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 1297, "speed": 8000}}',""
0.17,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1584, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 1289, "speed": 8000}}',""
0.18,POSITION,'{"7": {"position": 1485, "speed": 8000}, "6": {"position": 1580, "speed": 8000}}',""
0.19,POSITION,'{"5": {"position": 1278, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1274, "speed": 8000}}',""
0.21,POSITION,'{"7": {"position": 1487, "speed": 8000}, "6": {"position": 1578, "speed": 8000}}',""
0.21,POSITION,'{"5": {"position": 1271, "speed": 8000}}',""
0.22,POSITION,'{"5": {"position": 1268, "speed": 8000}}',""
0.23,POSITION,'{"7": {"position": 1488, "speed": 8000}, "6": {"position": 1576, "speed": 8000}}',""
0.25,POSITION,'{"5": {"position": 1266, "speed": 8000}}',""
0.26,POSITION,'{"5": {"position": 1264, "speed": 8000}}',""
0.27,POSITION,'{"5": {"position": 1261, "speed": 8000}}',""
0.28,POSITION,'{"5": {"position": 1258, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 1256, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 1254, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 1250, "speed": 8000}}',""
0.35,POSITION,'{"5": {"position": 1248, "speed": 8000}}',""
0.36,POSITION,'{"5": {"position": 1243, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 1241, "speed": 8000}}',""
0.39,POSITION,'{"5": {"position": 1235, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 1232, "speed": 8000}}',""
0.41,POSITION,'{"5": {"position": 1227, "speed": 8000}}',""
0.42,POSITION,'{"7": {"position": 1487, "speed": 8000}, "6": {"position": 1578, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1224, "speed": 8000}}',""
0.44,POSITION,'{"5": {"position": 1218, "speed": 8000}}',""
0.45,POSITION,'{"7": {"position": 1485, "speed": 8000}, "6": {"position": 1580, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 1214, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 1211, "speed": 8000}}',""
0.47,POSITION,'{"5": {"position": 1207, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1205, "speed": 8000}}',""
0.5,POSITION,'{"7": {"position": 1484, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1222, "speed": 8000}}',""
0.53,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1583, "speed": 8000}}',""
0.53,POSITION,'{"5": {"position": 1238, "speed": 8000}}',""
0.54,POSITION,'{"7": {"position": 1481, "speed": 8000}, "6": {"position": 1586, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 1288, "speed": 8000}}',""
0.56,POSITION,'{"7": {"position": 1479, "speed": 8000}, "6": {"position": 1587, "speed": 8000}}',""
