time,instruction,arg_1,arg_2
0.06,POSITION,'{"5": {"position": 842, "speed": 8000}}',""
0.07,POSITION,'{"7": {"position": 1505, "speed": 8000}, "6": {"position": 1555, "speed": 8000}}',""
0.07,POSITION,'{"5": {"position": 845, "speed": 8000}}',""
0.08,POSITION,'{"7": {"position": 1504, "speed": 8000}, "6": {"position": 1557, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 851, "speed": 8000}}',""
0.1,POSITION,'{"7": {"position": 1497, "speed": 8000}, "6": {"position": 1565, "speed": 8000}}',""
0.1,POSITION,'{"5": {"position": 869, "speed": 8000}}',""
0.11,POSITION,'{"7": {"position": 1473, "speed": 8000}, "6": {"position": 1596, "speed": 8000}}',""
0.11,POSITION,'{"5": {"position": 900, "speed": 8000}}',""
0.12,POSITION,'{"7": {"position": 1469, "speed": 8000}, "6": {"position": 1600, "speed": 8000}}',""
0.13,POSITION,'{"5": {"position": 921, "speed": 8000}}',""
0.14,POSITION,'{"7": {"position": 1443, "speed": 8000}, "6": {"position": 1632, "speed": 8000}}',""
0.14,POSITION,'{"5": {"position": 968, "speed": 8000}}',""
0.15,POSITION,'{"7": {"position": 1440, "speed": 8000}, "6": {"position": 1636, "speed": 8000}}',""
0.15,POSITION,'{"5": {"position": 1017, "speed": 8000}}',""
0.16,POSITION,'{"7": {"position": 1439, "speed": 8000}, "6": {"position": 1638, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 1038, "speed": 8000}}',""
0.18,POSITION,'{"7": {"position": 1435, "speed": 8000}, "6": {"position": 1642, "speed": 8000}}',""
0.18,POSITION,'{"5": {"position": 1072, "speed": 8000}}',""
0.19,POSITION,'{"7": {"position": 1433, "speed": 8000}, "6": {"position": 1645, "speed": 8000}}',""
0.19,POSITION,'{"5": {"position": 1093, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1101, "speed": 8000}}',""
0.22,POSITION,'{"7": {"position": 1431, "speed": 8000}, "6": {"position": 1647, "speed": 8000}}',""
0.22,POSITION,'{"5": {"position": 1113, "speed": 8000}}',""
0.23,POSITION,'{"5": {"position": 1118, "speed": 8000}}',""
0.24,POSITION,'{"5": {"position": 1125, "speed": 8000}}',""
0.25,POSITION,'{"7": {"position": 1430, "speed": 8000}, "6": {"position": 1649, "speed": 8000}}',""
0.25,POSITION,'{"5": {"position": 1130, "speed": 8000}}',""
0.27,POSITION,'{"5": {"position": 1132, "speed": 8000}}',""
0.28,POSITION,'{"5": {"position": 1136, "speed": 8000}}',""
0.29,POSITION,'{"7": {"position": 1428, "speed": 8000}, "6": {"position": 1651, "speed": 8000}}',""
0.3,POSITION,'{"7": {"position": 1427, "speed": 8000}, "6": {"position": 1653, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 1144, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 1148, "speed": 8000}}',""
0.33,POSITION,'{"7": {"position": 1425, "speed": 8000}, "6": {"position": 1655, "speed": 8000}}',""
0.33,POSITION,'{"5": {"position": 1152, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 1163, "speed": 8000}}',""
