time,instruction,arg_1,arg_2
0.07,POSITION,'{"0": {"position": 2183, "speed": 8000}}',""
0.11,POSITION,'{"0": {"position": 2185, "speed": 8000}}',""
0.16,POSITION,'{"0": {"position": 2187, "speed": 8000}}',""
0.2,POSITION,'{"0": {"position": 2189, "speed": 8000}}',""
0.23,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.27,POSITION,'{"0": {"position": 2193, "speed": 8000}}',""
0.3,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 2184, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 2170, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 2006, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 1839, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1824, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1664, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1638, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1478, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1468, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1439, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1462, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1652, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1669, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1864, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1871, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1886, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1878, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1856, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1651, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1457, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1277, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1264, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1220, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1175, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1166, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1188, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1380, "speed": 8000}}',""
