time,instruction,arg_1,arg_2
0.66,POSITION,'{"0": {"position": 2193, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 2182, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 2161, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1963, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1776, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1630, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1589, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1442, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1421, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1407, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1383, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1397, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1473, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1493, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1471, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1258, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1067, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 912, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 885, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 868, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 850, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 860, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1131, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1338, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1354, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1379, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1535, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1551, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1556, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1548, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1516, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1494, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1451, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1418, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1401, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1426, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1632, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1656, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1677, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1721, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1745, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1784, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1799, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1826, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1837, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 1849, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1872, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 1902, "speed": 8000}}',""
1.33,POSITION,'{"0": {"position": 1918, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 1947, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 1960, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 1982, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 1994, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 2019, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 2029, "speed": 8000}}',""
1.41,POSITION,'{"0": {"position": 2046, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 2053, "speed": 8000}}',""
1.44,POSITION,'{"0": {"position": 2066, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
1.46,POSITION,'{"0": {"position": 2085, "speed": 8000}}',""
1.47,POSITION,'{"0": {"position": 2088, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 2086, "speed": 8000}}',""
1.5,POSITION,'{"0": {"position": 2083, "speed": 8000}}',""
1.51,POSITION,'{"0": {"position": 2070, "speed": 8000}}',""
1.52,POSITION,'{"0": {"position": 2059, "speed": 8000}}',""
1.54,POSITION,'{"0": {"position": 2037, "speed": 8000}}',""
