time,instruction,arg_1,arg_2
0.63,POSITION,'{"0": {"position": 1944, "speed": 4000}}',""
0.64,POSITION,'{"0": {"position": 1941, "speed": 4000}}',""
0.65,POSITION,'{"0": {"position": 1933, "speed": 4000}}',""
0.67,POSITION,'{"0": {"position": 1926, "speed": 4000}}',""
0.68,POSITION,'{"0": {"position": 1909, "speed": 4000}}',""
0.69,POSITION,'{"0": {"position": 1900, "speed": 4000}}',""
0.7,POSITION,'{"0": {"position": 1883, "speed": 4000}}',""
0.72,POSITION,'{"0": {"position": 1873, "speed": 4000}}',""
0.73,POSITION,'{"0": {"position": 1847, "speed": 4000}}',""
0.74,POSITION,'{"0": {"position": 1832, "speed": 4000}}',""
0.75,POSITION,'{"0": {"position": 1816, "speed": 4000}}',""
0.77,POSITION,'{"0": {"position": 1783, "speed": 4000}}',""
0.78,POSITION,'{"0": {"position": 1749, "speed": 4000}}',""
0.79,POSITION,'{"0": {"position": 1731, "speed": 4000}}',""
0.8,POSITION,'{"0": {"position": 1693, "speed": 4000}}',""
0.82,POSITION,'{"0": {"position": 1678, "speed": 4000}}',""
0.83,POSITION,'{"0": {"position": 1657, "speed": 4000}}',""
0.84,POSITION,'{"0": {"position": 1643, "speed": 4000}}',""
0.86,POSITION,'{"0": {"position": 1638, "speed": 4000}}',""
0.87,POSITION,'{"0": {"position": 1631, "speed": 4000}}',""
0.88,POSITION,'{"0": {"position": 1629, "speed": 4000}}',""
0.89,POSITION,'{"0": {"position": 1627, "speed": 4000}}',""
0.91,POSITION,'{"0": {"position": 1624, "speed": 4000}}',""
0.92,POSITION,'{"0": {"position": 1622, "speed": 4000}}',""
0.95,POSITION,'{"0": {"position": 1620, "speed": 4000}}',""
1.07,POSITION,'{"0": {"position": 1618, "speed": 4000}}',""
1.1,POSITION,'{"0": {"position": 1613, "speed": 4000}}',""
1.11,POSITION,'{"0": {"position": 1609, "speed": 4000}}',""
1.12,POSITION,'{"0": {"position": 1601, "speed": 4000}}',""
1.14,POSITION,'{"0": {"position": 1592, "speed": 4000}}',""
1.15,POSITION,'{"0": {"position": 1587, "speed": 4000}}',""
1.16,POSITION,'{"0": {"position": 1578, "speed": 4000}}',""
1.17,POSITION,'{"0": {"position": 1569, "speed": 4000}}',""
1.19,POSITION,'{"0": {"position": 1566, "speed": 4000}}',""
1.2,POSITION,'{"0": {"position": 1563, "speed": 4000}}',""
1.21,POSITION,'{"0": {"position": 1557, "speed": 4000}}',""
1.22,POSITION,'{"0": {"position": 1548, "speed": 4000}}',""
1.24,POSITION,'{"0": {"position": 1541, "speed": 4000}}',""
1.25,POSITION,'{"0": {"position": 1526, "speed": 4000}}',""
1.26,POSITION,'{"0": {"position": 1515, "speed": 4000}}',""
1.28,POSITION,'{"0": {"position": 1511, "speed": 4000}}',""
1.29,POSITION,'{"0": {"position": 1507, "speed": 4000}}',""
1.3,POSITION,'{"0": {"position": 1499, "speed": 4000}}',""
1.32,POSITION,'{"0": {"position": 1490, "speed": 4000}}',""
1.33,POSITION,'{"0": {"position": 1487, "speed": 4000}}',""
1.34,POSITION,'{"0": {"position": 1479, "speed": 4000}}',""
1.35,POSITION,'{"0": {"position": 1474, "speed": 4000}}',""
1.37,POSITION,'{"0": {"position": 1460, "speed": 4000}}',""
1.38,POSITION,'{"0": {"position": 1444, "speed": 4000}}',""
1.39,POSITION,'{"0": {"position": 1436, "speed": 4000}}',""
1.4,POSITION,'{"0": {"position": 1420, "speed": 4000}}',""
1.42,POSITION,'{"0": {"position": 1405, "speed": 4000}}',""
1.43,POSITION,'{"0": {"position": 1398, "speed": 4000}}',""
1.44,POSITION,'{"0": {"position": 1386, "speed": 4000}}',""
1.46,POSITION,'{"0": {"position": 1381, "speed": 4000}}',""
1.47,POSITION,'{"0": {"position": 1370, "speed": 4000}}',""
1.48,POSITION,'{"0": {"position": 1365, "speed": 4000}}',""
1.49,POSITION,'{"0": {"position": 1357, "speed": 4000}}',""
1.5,POSITION,'{"0": {"position": 1354, "speed": 4000}}',""
1.52,POSITION,'{"0": {"position": 1350, "speed": 4000}}',""
1.54,POSITION,'{"0": {"position": 1347, "speed": 4000}}',""
1.58,POSITION,'{"0": {"position": 1344, "speed": 4000}}',""
1.6,POSITION,'{"8": {"position": 1650, "speed": 4000}, "9": {"position": 1429, "speed": 4000}, "10": {"position": 1399, "speed": 4000}, "11": {"position": 1500, "speed": 4000}}',""
1.64,POSITION,'{"0": {"position": 1342, "speed": 4000}}',""
1.7,POSITION,'{"8": {"position": 1789, "speed": 4000}, "9": {"position": 1250, "speed": 4000}, "10": {"position": 1260, "speed": 4000}, "11": {"position": 1719, "speed": 4000}}',""
1.73,POSITION,'{"0": {"position": 1340, "speed": 4000}}',""
2.06,POSITION,'{"0": {"position": 1336, "speed": 4000}}',""
2.1,POSITION,'{"0": {"position": 1332, "speed": 4000}}',""
2.11,POSITION,'{"0": {"position": 1329, "speed": 4000}}',""
2.13,POSITION,'{"0": {"position": 1327, "speed": 4000}}',""
2.15,POSITION,'{"0": {"position": 1325, "speed": 4000}}',""
2.16,POSITION,'{"0": {"position": 1322, "speed": 4000}}',""
2.17,POSITION,'{"0": {"position": 1320, "speed": 4000}}',""
2.2,POSITION,'{"0": {"position": 1315, "speed": 4000}}',""
2.22,POSITION,'{"0": {"position": 1312, "speed": 4000}}',""
2.24,POSITION,'{"0": {"position": 1309, "speed": 4000}}',""
2.25,POSITION,'{"0": {"position": 1304, "speed": 4000}}',""
2.26,POSITION,'{"0": {"position": 1301, "speed": 4000}}',""
2.28,POSITION,'{"0": {"position": 1297, "speed": 4000}}',""
2.29,POSITION,'{"0": {"position": 1292, "speed": 4000}}',""
2.3,POSITION,'{"0": {"position": 1290, "speed": 4000}}',""
2.31,POSITION,'{"0": {"position": 1287, "speed": 4000}}',""
2.34,POSITION,'{"0": {"position": 1284, "speed": 4000}}',""
2.35,POSITION,'{"0": {"position": 1281, "speed": 4000}}',""
2.37,POSITION,'{"0": {"position": 1277, "speed": 4000}}',""
2.38,POSITION,'{"0": {"position": 1269, "speed": 4000}}',""
2.39,POSITION,'{"0": {"position": 1265, "speed": 4000}}',""
2.4,POSITION,'{"0": {"position": 1258, "speed": 4000}}',""
2.42,POSITION,'{"0": {"position": 1255, "speed": 4000}}',""
2.43,POSITION,'{"0": {"position": 1251, "speed": 4000}}',""
2.45,POSITION,'{"0": {"position": 1249, "speed": 4000}}',""
2.48,POSITION,'{"0": {"position": 1247, "speed": 4000}}',""
2.52,POSITION,'{"0": {"position": 1245, "speed": 4000}}',""
2.56,POSITION,'{"8": {"position": 1650, "speed": 4000}, "9": {"position": 1429, "speed": 4000}, "10": {"position": 1399, "speed": 4000}, "11": {"position": 1500, "speed": 4000}}',""
2.67,POSITION,'{"8": {"position": 1789, "speed": 4000}, "9": {"position": 1250, "speed": 4000}, "10": {"position": 1260, "speed": 4000}, "11": {"position": 1719, "speed": 4000}}',""
